"NewsletterID","Title","Publisher","Theme","StartMonth","EndMonth","Year","Volume","Number","Copies","Photocopies","ISSN","Subscriber","Shelf"
"31","CORDIS Focus RTD Results","European Commission","Industry and Technology/ Energy/ Biological Sciences/ Protecting Man and his Environment/ Agricultural and Marine Resources and Products/ Measurements and Standards/ Physical and Exact Sciences","3","null","1996","","9","1","0","10226559","CS","G121"
"32","CORDIS Focus RTD Results","European Commission","Industry and Technology/ Energy/ Biological Sciences/ Protecting Man and his Environment/ Agricultural and Marine Resources and Products/ Measurements and Standards/ Quick Reference Guide","7","null","1996","","10","1","0","10226559","CS","G121"
"33","CORDIS Focus RTD Results","European Commission","Industry and Technology/ Energy/ Biological Sciences/ Protecting Man and his Environment/ Agricultural and Marine Resources and Products/ Measurements and Standards/ Physical and Exact Sciences","10","null","1996","","11","1","0","10226559","CS","G121"
"34","CORDIS Focus SUPPLEMENT","Commission of the European Communities","Participating in the Fourth Framework Programme Supplement","12","null","1994","","5","1","0","10226559","CS","G121"
"35","CORDIS Focus SUPPLEMENT","Commission of the European Communities","Europe's way to the Information Society","2","null","1995","","6","1","0","10226559","CS","G121"
"36","CORDIS Focus SUPPLEMENT","Commission of the European Communities","Fourth Framework Programme (1994-1998)","9","null","1995","","7","1","0","10226559","CS","G121"
"37","CORDIS Focus SUPPLEMENT","European Commission","Supplement including 1) Status of calls for proposals for the 4th Framework Programme 2) Contact points for the specific programmers","5","null","1996","","8","1","0","10226559","CS","G121"
"38","CORDIS Focus SUPPLEMENT","European Commission","Networks for People and their Communities","9","null","1996","","10","1","0","10226559","CS","G121"
"39","CORDIS Focus SUPPLEMENT","European Commission","RTD and Innovation Support for SMEs An overview of European Commission actions designed to assist small and medium-sized enterprises in participating in and benefiting from EU research and innovation activities","10","null","1996","","11","1","0","10226559","CS","G121"
"40","CORDIS Focus","Commission of the European Communities","Information Technologies Information Day in Brussels","12","null","1994","","28","1","0","10226559","CS","G121"
"41","CORDIS Focus","Commission of the European Communities","The Information Society Project Office: A New Market-Place for Ideas","12","null","1994","","29","1","0","10226559","CS","G121"
"42","CORDIS Focus","Commission of the European Communities","Fourth Framework Programme Dissemination and Exploitation of RTD Results","2","null","1995","","31","1","0","10226559","CS","G121"
"43","CORDIS Focus","Commission of the European Communities","G7 Ministerial Conference on the Information Society","2","null","1995","","32","1","0","10226559","CS","G121"
"44","CORDIS Focus","Commission of the European Communities","G7 on the Information Society Conclusions","3","null","1995","","33","1","0","10226559","CS","G121"
"45","CORDIS Focus","Commission of the European Communities","Council calls for Greater Coordination of RTD Policies / EUROPA New Server on Internet","3","null","1995","","34","1","0","10226559","CS","G121"
"46","CORDIS Focus","Commission of the European Communities","Environment Consultative Forum Sets out Principles for Sustainable Development","3","null","1995","","35","1","0","10226559","CS","G121"
"47","CORDIS Focus","Commission of the European Communities","Industry Council of 7 April 1995.","4","null","1995","","36","1","0","10226559","CS","G121"
"48","CORDIS Focus","Commission of the European Communities","Commission establishes High-Level Expert Group on the Social and Societal Implications of the Information Society/ European Science and Technology Assembly Third Plenary Meeting","5","null","1995","","37","1","0","10226559","CS","G121"
"49","CORDIS Focus","Commission of the European Communities","Leonardo Da Vinci Programme, Eureka Brokerage Event on ""Transport Information Systems""","5","null","1995","","38","1","0","10226559","CS","G121"
"50","CORDIS Focus","Commission of the European Communities","Information Technologies Cooperation with Third Countries","6","null","1995","","39","1","0","10226559","CS","G121"
"51","CORDIS Focus","Commission of the European Communities","New task forces to develop priorities for research projects of common industrial interest","6","null","1995","","40","1","0","10226559","CS","G121"
"52","CORDIS Focus","Commission of the European Communities","Coordinating employment policy","6","null","1995","","41","1","0","10226559","CS","G121"
"53","CORDIS Focus","Commission of the European Communities","New EU programme to stimulate European multimedia content industry: INFO 2000","7","null","1995","","42","1","0","10226559","CS","G121"
"54","CORDIS Focus","Commission of the European Communities","Commissioner Flynn speaks about the Information society","7","null","1995","","43","1","0","10226559","CS","G121"
"55","CORDIS Focus","Commission of the European Communities","Interview on the Commission's priorities in the area of transport policy and research/ The European Scientific and Technological Assembly","9","null","1995","","44","1","0","10226559","CS","G121"
"56","CORDIS Focus","Commission of the European Communities","Fourth Framework Programme SME participation/ Transport RTD Programme Results of first call for proposals","9","null","1995","","45","1","0","10226559","CS","G121"
"57","CORDIS Focus","Commission of the European Communities","Lifelong Learning - A goal for the next century (A recent interview from the Director-General of DG XXII talked about the Commission's plans in the area of education and training","9","null","1995","","46","1","0","10226559","CS","G121"
"58","CORDIS Focus","Commission of the European Communities","BRITE/EURAM '95 European Conference which took place in Vienna on 11-13 October 1995/ CORDIS on the World Wide Web","10","null","1995","","47","1","0","10226559","CS","G121"
"59","CORDIS Focus","Commission of the European Communities","""Car of the Future"" Task Force Commissioner Bangemann Addresses A new Reality/ Commissioner Monti appeals for joint action against audiovisual piracy","10","null","1995","","48","1","0","10226559","CS","G121"
"60","CORDIS Focus","Commission of the European Communities","European RTD in Action, BRITE/EURAM'95, EITC'95","11","null","1995","","49","1","0","10226559","CS","G121"
"61","CORDIS Focus","Commission of the European Communities","Language Diversity in the European Information Society/ Information and Communications Technologies","11","null","1995","","50","1","0","10226559","CS","G121"
"62","CORDIS Focus","European Commission","EITC '95 IT Forum focuses on ""Managing Change""","12","null","1995","","51","1","0","10226559","CS","G121"
"63","CORDIS Focus","European Commission","New Opportunities for Participation Fourth Framework Programme Calls for Proposals","12","null","1995","","52","1","0","10226559","CS","G121"
"64","CORDIS Focus","European Commission","Spotlight on Innovation Major new European Green Paper","1","null","1996","","53","1","0","10226559","CS","G121"
"65","CORDIS Focus","European Commission","The Environment Europe makes progress/ New Language Versions Launched","1","null","1996","","54","1","0","10226559","CS","G121"
"66","CORDIS Focus","European Commission","Stimulating Wider Research: Aeronautics, Car of the Future, Multimedia Educational Software, Multi-mode Transport, Environmentally Friendly Technologies","2","null","1996","","55","1","0","10226559","CS","G121"
"67","CORDIS Focus","European Commission","Global Comparison of Regional RTD Strategies RESTPOR' 96, Analysis of Innovative Regional Systems","2","null","1996","","56","1","0","10226559","CS","G121"
"68","CORDIS Focus","European Commission","Focus on the Environment/ World Deal on Telecommunications","3","null","1996","","58","1","0","10226559","CS","G121"
"69","CORDIS Focus","European Commission","Debating Innovation Conferences to Discuss Commission Green Paper","4","null","1996","","59","1","0","10226559","CS","G121"
"70","CORDIS Focus","European Commission","Shaping Europe's Maritime Future Competitiveness of Maritime Industries","4","null","1996","","60","1","0","10226559","CS","G121"
"71","CORDIS Focus","European Commission","The Decoding of Yeast A Complete Genome Unravelled by-Funded Research/ Community Regulation of the Internet","5","null","1996","","61","1","0","10226559","CS","G121"
"72","CORDIS Focus","European Commission","RTD-News on the World Wide Web Milestone for Cordis/ Commission Budget for 1997 Preliminary Draft Adopted","5","null","1996","","62","1","0","10226559","CS","G121"
"73","CORDIS Focus","European Commission","European Union Plans for Promoting Innovation","6","null","1996","","63","1","0","10226559","CS","G121"
"74","CORDIS Focus","European Commission","The European Vision of the Information Society Employment, Regional, Cohesion, and Social Justice","6","null","1996","","64","1","0","10226559","CS","G121"
"75","CORDIS Focus","European Commission","Evaluating Community RTD Programmes Commission Outlines Rationalized Approach","7","null","1996","","65","1","0","10226559","CS","G121"
"76","CORDIS Focus","European Commission","Opening the Debate Guidelines for the Fifth Framework Programme","7","null","1996","","67","1","0","10226559","CS","G121"
"77","CORDIS Focus","European Commission","Emerging Priorities in the Information Society/ Competitive Position of European Science, Technology and Industry","8","null","1996","","68","1","0","10226559","CS","G121"
"78","CORDIS Focus","European Commission","SME Participation in the Fourth Framework Programme","9","null","1996","","69","1","0","10226559","CS","G121"
"79","CORDIS Focus","European Commission","Irish Presidency Home Page Cordis Launches new RTD Information Service","9","null","1996","","70","1","0","10226559","CS","G121"
"80","CORDIS Focus","European Commission","RTD Activities of the European Union","10","null","1996","","71","1","0","10226559","CS","G121"
"81","CORDIS Focus","European Commission","The EU Gets its ""ACTS"" Together Advanced Communications Technologies and Services","10","null","1996","","72","1","0","10226559","CS","G121"
"82","CORDIS Focus","European Commission","Bringing ""IT"" Home ESPRIT programme seeks a new way to use computers","11","null","1996","","73","1","0","10226559","CS","G121"
"83","CORDIS Focus","European Commission","CORDIS on the WEB The complete CORDIS service now available on the World Wide Web","11","null","1996","","74","1","0","10226559","CS","G121"
"84","CORDIS Focus","European Commission","First Action Plan for Innovation in Europe","12","null","1996","","75","1","0","10226559","CS","G121"
"85","CORDIS Focus","European Commission","Moving the Research Agenda Forward","12","null","1996","","76","1","0","10226559","CS","G121"
"86","DLT News","INTERMAPS","A crisis for the producers/A European Partnership between Industry and Distance Teaching/Integration of the Media/Multimedia Training/Distance Learning and LIVE-Net/Education for all by Satellite/Multimedia Databases for Educational Systems","6","null","1990","","3","1","0","","CS",""
"87","ECHO NEWS","European Commission Host Organisation","Libraries, TED Database, Service CORDIS, User Assistance, Videotex, Hosts","11","null","1991","","3","1","0","","δείγμα",""
"88","Eiffel World","International Eiffel Community","Windows Eiffel Library: How to Access MS-Windows","16","14","1995","4","4","1","0","","δείγμα","G122"
"89","Engineering Computing Newsletter SERC","Informatics Department Rutherford Appleton Laboratory","A Catalogue of Experimental Data for CFD/Second Workshop on Abstract Machine","11","null","1992","","41","1","0","","CS",""
"90","Engineering Computing Newsletter SERC","Informatics Department Rutherford Appleton Laboratory","Parallel Processing in Engineering Community Club being formed/Modelling Fluid Flow using Vortex Methods/Improving the Quality of Fortran Programs","5","null","1993","","44","1","0","","CS",""
"91","Engineering Management Society","IEEE","The Review of the Engineering Management Review/Announcement of Overlength Page Charges for the Trasactions on Engineering Management","4","null","1993","43","2","1","0","1066212X","CS","G122"
"92","Engineering Management Society","IEEE","Characteristics of a Successful R & D Organization / Total Quality Management","7","null","1993","43","3","1","0","1066212X","CS","G122"
"93","Engineering Management Society","IEEE","President's Message/EMS Engineering Manager's Notebook","10","null","1993","43","4","1","0","1066212X","CS","G122"
"94","Engineering Management Society","IEEE","Notes from your Editor's Computer","1","null","1994","44","1","1","0","1066212X","CS","G122"
"95","Engineering Management Society","IEEE","EMS Engineering Manager's Notebook","4","null","1994","44","2","1","0","1066212X","CS","G122"
"96","Engineering Management Society","IEEE","International Engineering Management Conference","7","null","1994","44","3","1","0","1066212X","CS","G122"
"97","Engineering Management Society","IEEE","Engineers Turing Ideas into Reality, Management Ideas, Creative Marketing for Videophones","10","null","1994","44","4","1","0","1066212X","CS","G122"
"98","Engineering Management","IEEE","Engineers Turning Ideas into Reality/ Management Ideas/ Transactions on Engineering Management","1","null","1995","45","1","1","0","1066212X","CS","G122"
"99","Engineering Management","IEEE","Engineers Turning Ideas into Reality/ Brazil Summer' 95 EMS Workshop Scheduled","4","null","1995","45","2","1","0","1066212X","CS","G122"
"100","Engineering Management","IEEE","Engineers Turning ideas into Reality/ EMS Engineering Manager's Notebook","10","null","1995","45","4","1","0","1066212X","CS","G122"
"101","Engineering Management","IEEE","Your 1996 Engineering Management Society Officers","1","null","1996","46","1","1","0","1066212X","CS","G122"
"102","Engineering Management","IEEE","Managing Virtual Enterprises","15","null","1996","46","2","1","0","1066212X","CS","G122"
"103","Engineering Management","IEEE","Engineers turning Ideas into Reality","14","null","1996","46","3","1","0","1066212X","CS","G122"
"104","Esprit Information Exchange System iesnews","DG XIII","Networks Viruses/EuroKom Migration Successful/Document Transfer Tests","2","null","1988","","14","1","0","","CS",""
"105","Esprit Information Exchange System iesnews","DG XIII","Information on the DELTA Program/The Paper Interface/OSI Standards in China/Euroinfo 88","6","null","1988","","16","1","0","","CS",""
"106","Esprit Information Exchange System iesnews","DG XIII","DRIVE: Another Commission Program/Eurocontact: The Way Aheard/Esprit Conference Week '88: Preliminary Conference Program","8","null","1988","","17","1","0","","CS",""
"107","Esprit Information Exchange System iesnews","DG XIII","Trans-Europe Data Network Service/Brite Program Evaluation/COMETT and EuroKom/Videoconferencing/RARE MHS Project","10","null","1988","","18","1","0","","CS",""
"108","Esprit Information Exchange System iesnews","DG XIII","BRITE/EURAM Technological Days/First Optical Fibre Leased Line to Japan/IMPACT: the New Name for the Information Market Program of DGXIII.","12","null","1988","","19","1","0","","CS",""
"109","Esprit Information Exchange System iesnews","DG XIII","The International Telecommunications Union/The Role of the European Commission in the Electronic Information Market","2","null","1989","","20","1","0","","CS",""
"110","Esprit Information Exchange System iesnews","DG XIII","Operational Machine Translation/TEDIS Program/PARLAKOM Pilot Test/EuroKom News/Human Factors in IT/ Open Systems Handbook","4","null","1989","","21","1","0","","CS",""
"111","Esprit Information Exchange System iesnews","DG XIII","ComCentre/EuroTra/Rare Networkshop/Hungarian Network/MultiVendor OSI Shop/CORDIS Service","6","null","1989","","22","1","0","","CS",""
"112","Esprit Information Exchange System iesnews","DG XIII","Brussels Locations of the European Institutions/TEDIS Conference/COSINE Users Meeting/COSINE Final Specification Phase Overview Report","8","null","1989","","23","1","0","","CS",""
"113","Esprit Information Exchange System iesnews","DG XIII","The Framework Programme, 1990-94/New IT Periodicals/First European Lisp Conference","11","null","1989","","24","1","0","","CS",""
"114","Esprit Information Exchange System iesnews","DG XIII","Telecommuting/Information Technology Atlas-Europe/METAL Machine Translation","12","null","1989","","25","1","0","","CS",""
"115","Esprit Information Exchange System iesnews","DG XIII","UN Databases on CD-ROM/First Hacker Conviction/OSI Products","2","null","1990","","26","1","0","","CS",""
"116","Esprit Information Exchange System iesnews","DG XIII","Open Systems Participants/Telecommunications and Methodology/Telematics/ESPRIT: New Projects","6","null","1990","","28","1","0","","CS",""
"117","Esprit Information Exchange System iesnews","DG XIII","Cenelec Electronic Components Commee/EXACT:Test Data Exchange/The UK Networking Association/Interoperability and Conformance Testing","10","null","1990","","30","1","0","","CS",""
"118","Graphics newsletter","University of Leeds","News from IGWP/reports on Meetings/Graphics Around the Country/Conferences and Meetings Notices","10","null","1992","","25","1","0","","δείγμα",""
"119","Graphics & Visualization","Advisory Group On Computer Graphics (AGOCG)","Current progress towards evaluating scientific graphing packages for the PC","4","null","1993","","28","1","0","","CS",""
"120","Helios Flash","Commission of the European Communities","Helios exchange and Information activities/Second European Day of Disabled Persons","11","12","1994","","8","1","0","","CS","CS-LIB"
"121","Helios Flash","Commission of the European Communities","Action programme to assist disabled people/Transfer in the Helios activities","8","10","1995","","12-13","1","0","","CS","G122"
"122","Helios Flash","Commission of the European Communities","European Day of Disabled Persons: full citizenship","11","12","1995","","14","1","0","","CS","G122"
"123","Helios Flash","Commission of the European Communities","Exchange and Information Activities 1995","5","6","1996","","16","1","0","","CS","G122"
"124","HFES Bulletin","Human Factors and Ergonomics Society","Technical Standards Committee/ Cal-OSHA Hears Comments on Ergonomics Regulation","2","null","1996","39","2","1","0","04381629","CS","G122"
"125","HFES Bulletin","Human Factors and Ergonomics Society","Human-Centered Technology in Philadelphia","6","null","1996","39","6","1","0","04381629","CS","G122"
"126","HFES Bulletin","Human Factors and Ergonomics Society","Advocacy for Human Factors/ Ergonomics","8","null","1996","39","8","1","0","04381629","CS","G122"
"127","HFES Bulletin","Human Factors and Ergonomics Society","Sharing Human Factors Success Stories","9","null","1996","39","9","1","0","04381629","CS","G122"
"128","HFES Bulletin","Human Factors and Ergonomics Society","Road Map to the Future/ Revised Strategic Plan September 1996","10","null","1996","39","10","1","0","04381629","CS","G122"
"137","IAPR Newsletter","Dept. Electronic and Electrical Engineering, University of Surrey, UK","Conference Reports/NATO Advanced Study Institute on Active Perception and Robot Vision/Calls for Papers/Calendar of Events","9","null","1989","12","3","1","0","","CS",""
"138","IAPR Newsletter","Dept. Electronic and Electrical Engineering, University of Surrey, UK","New Journals/IEEE International Conference on Image Processing/Calls for Papers/Calendar of Events","12","null","1989","12","4","1","0","","CS",""
"139","IAPR Newsletter","Dept. Electronic Systems Engineering, University of Essex, UK","The Portugese Association for Pattern Recognition,Israel/Italy Binational Symposium on Computer Vision, The British Machine Vision Conference 1991, Conference Announcements","1","null","1992","14","3","1","0","","CS",""
"140","IAPR Newsletter","Dept. Electronic Systems Engineering, University of Essex, UK","ECE'91, Retirement of Prof. Dutta Majumdar, New E-Mail Address for IAPR Secretary/Korea Joins the IAPR, A Message from Korea, Book Review, Conference Announcements","4","null","1992","14","4","1","0","","CS",""
"141","ICTA INFORM","Swedish Institute for the Handicapped","Seminar on appropriate aids and equipment for disabled people in Africa/Designing Aids for Disabled Adults/PC-programs for disabled people/Technical Aids","5","null","1988","","1","1","0","","CS",""
"142","INedit","INRIA","Soft Engineering-New Generation","1","null","1996","","2","1","0","12683701","CS","G121"
"143","INedit","INRIA","The Web Scene on the Seine","3","null","1996","","3","1","0","12683701","CS","G121"
"144","INedit","INRIA","Quest France, a high rate newspaper/ Computer Resources/ INET '96 (sitxth annual conference of the Internet Society)","5","null","1996","","4","1","0","12683701","CS","G121"
"145","Innovation and Technology Transfer","Commission of the European Communities","Scientific research across the whole European Continent/Second wave Framework programme/Calls for proposals/Euro Info Centre news/Energy for our environment/New electronic guides to Community Science and Technology","1","null","1992","13","1","1","0","02550806","CS","CS-LIB"
"146","Innovation and Technology Transfer","Commission of the European Communities","Fourth Framework Programme/New Organisation of DG XII and DG XIII/Third Framework Programme/Ongoing Developments/Value II/Sprint/Publications/Conferences/Joint Research Centre: Overview","12","null","1992","13","2","1","0","02550806","CS","CS-LIB"
"147","Innovation and Technology Transfer","Commission of the European Communities","The Value Relay Centres/The New Commission/Sprint/Community Telecommunications/Satellite Earth Station Equipment/Consumer Electronics Industry/Publications/Joint Research Centre","3","null","1993","14","1","1","0","02550806","CS","CS-LIB"
"148","Innovation and Technology Transfer","Commission of the European Communities","Impact 2 Work Programme/Sprint Activities/AGRO-Industrial Programmes/Results of Community R&D/Ongoing Developments/Publications-Conferences","6","null","1993","14","2","1","0","02550806","CS","G121"
"149","Innovation and Technology Transfer","Commission of the European Communities","CORDIS/DRIVE - STAR - RACE/SPRINT/ Results of Community R & D/Third Framework Programme Update/Ongoing Developments/Publications Conferences","8","null","1993","14","3","1","0","02550806","CS","CS-LIB"
"150","Innovation and Technology Transfer","Commission of the European Communities","SMEs/SPRINT/ESPRIT Networks of Excellence/Results of Community R&D/Programmes/Ongoing Developments/Publications-Conferences.","10","null","1993","14","4","2","0","02550806","CS","CS-LIB"
"151","Innovation and Technology Transfer","Commission of the European Communities","The Value Programme in-depth+fourth framework programme update / Sprint news / JRC Case Study","2","null","1994","15","1","1","0","02550806","CS","CS-LIB"
"152","Innovation and Technology Transfer","Commission of the European Communities","SPRINT: An Innovative Programme Profiled + 'White Paper': Infrastructure Task Forces, Value News, ESPRIT Case Study","4","null","1994","15","2","1","0","02550806","CS","CS-LIB"
"153","Innovation and Technology Transfer","Commission of the European Communities","Transferring Space Technologies, Telematics Case Study","6","null","1994","15","3","2","0","02550806","CS","CS-LIB"
"154","Innovation and Technology Transfer","Commission of the European Communities","FLAIR-FLOW: A Focused Dissemination Network/Multimedia Case Study Teleoperated Robots","7","null","1994","15","4","2","0","02550806","CS","CS-LIB"
"155","Innovation and Technology Transfer","Commission of the European Communities","EUREKA: MARKET-ORIENTED R&D Value News, Sprint News, Concerted Action Case Study, European IT Conference","9","null","1994","15","5","2","0","02550806","CS","CS-LIB"
"156","Innovation and Technology Transfer","Commission of the European Communities","COST: Coordinating National R&D","11","null","1994","15","6","1","0","02550806","CS","CS-LIB"
"157","Innovation and Technology Transfer","Commission of the European Communities","Industrial Technologies: An Integrated Approach","1","null","1995","16","1","1","0","02550806","CS","G121"
"158","Innovation and Technology Transfer","Commission of the European Communities","Technology Transfer Networks: A Manager's Guide plus Case Study: Saving Wild Fish Stocks","3","null","1995","","2","2","0","02550806","CS","G121"
"159","Innovation and Technology Transfer","European Commission","Special Issue European Commission launches Green Paper on Innovation","2","null","1996","","1","1","0","10136452","CS","G121"
"160","Innovation and Technology Transfer","European Commission","Special Edition European Commission Launches First Action Plan for Innovation in Europe","12","null","1996","","2","1","0","10136452","CS","G121"
"161","IEE news","IEE","IEE database is best in Europe","1","null","1994","","87","1","0","","CS","CS-LIB"
"162","IEE news","IEE","Worlds apart-an Evening of Virtual Reality with the IEE","10","null","1994","","95","1","0","","CS","CS-LIB"
"163","IEE news/IEE recruitment","IEE","Widespread Backing for formation overhaul/ Diary, events and conference news/ Elections and transfers","7","null","1994","","93","1","0","03080684","CS","120A"
"164","IEE news","IEE","European Telecoms 'must be freed now'","12","null","1994","","97","1","0","03080684","CS","G122"
"165","IEE news","IEE","Engineering sets schools picture challenge","1","null","1995","","98","1","0","","CS","G122"
"166","IEE news","IEE","Re-engineering/ Three-day route to effective management","2","null","1995","","99","1","0","","CS","G122"
"167","IEE news","IEE","Home Control Systems for Disabled people wins IEE prize","3","null","1995","","100","1","0","","CS","G122"
"168","IEE news","IEE","Musical mystery provides key to International Lecture","4","null","1995","","101","1","0","","CS","G122"
"169","IEE news","IEE","IEE on the Internet/ Younger Members on the World Wide Web/ IEE conference marks radio centenary","6","null","1995","","103","1","0","","CS","G122"
"170","IEE news","IEE","IEE on the Internet/ Eurotunnel to present Faraday Lecture","7","null","1995","","104","1","0","","CS","G122"
"171","IEE news","IEE","IEE helps take school science beyond the nature table. Inside there is the ""INTERLINK"" issue 4, October 1995","10","null","1995","","106","1","0","","CS","G122"
"172","IEE news","IEE","Engineer's incomes rise despite recession/ BBC celebrates engineering/ Diary, events and conference news","11","null","1995","","107","1","0","","CS","G122"
"173","IEE news","IEE","British Gas Engineer Spearheads YES campaign to raise profession's profile/ IEE Library catalogue now available online/ IEE and NEC reward top technology teachers","2","null","1996","","110","1","0","","CS","G122"
"174","IEE news","IEE","Forum Launches 'New Era' for Engineering Council","3","null","1996","","111","1","0","","CS","G122"
"175","IEE news","IEE","President calls on City to back innovation/ Scottish Engineering Centre will be in central Glasgow/ Computing on the plains of West Bengal","4","null","1996","","112","1","0","","CS","G122"
"176","IEE news","IEE","Labour will back UK industry, Shadow spokesman tells IEE","6","null","1996","","114","1","0","","CS","G122"
"177","IEE news","IEE","Scottish Engineering Centre gets set to raise the roof (included InterLink iisue 7)","9","null","1996","","116","1","0","","CS","G122"
"178","IEE news","IEE","UK industry needs engineers to lead the way, says new President","11","null","1996","","118","1","0","","CS","G122"
"179","IEEE Education Society","ASEE Electrical Engineering Division","ASEE Centennial Conference/Accreditation News/Division VI Director's Report/New IEEE Fellows/Curriculum Trends/Nominations for E.A.B. Awards","15","null","1993","0","1","1","0","","CS",""
"180","IEEE Education Society","ASEE Electrical Engineering Division","Examining The Pipeline: A Nondestructive Evaluation of the Status of Minority Engineering Programs","16","null","1993","0","2","1","0","","CS",""
"181","IEEE Education Society","ASEE Electrical Engineering Division","NSF-Sponsored Curriculum Innovation in Undergraduate Engineering Education.","14","null","1993","0","3","1","0","","CS",""
"182","IEEE Education Society","ASEE Electrical Engineering Division","Computer and Networks in Engineering Education","15","null","1994","0","1","1","0","","CS",""
