"AuthorID","FirstName","MiddleName","LastName"
"69","David","F.","Beer"
"70","Annabel","","Beerel"
"71","Edward","A.","Bender"
"72","Michael","","Benedikt"
"73","Frederic","","Benhamou"
"74","Neville","","Bennett"
"75","David","","Benyon"
"76","L.","","Beolchi"
"77","Jane","R.","Berliss"
"78","John","","Berry"
"79","G.","G.","Bes"
"80","S.","","Bescos"
"81","Rene","","Besson"
"82","Nigel","","Bevan"
"83","Paul","","Beynon"
"84","Ramachandran","","Bharath"
"85","R.","G.","Bias"
"86","Wolfgang","","Bibel"
"87","Dick","","Bierman"
"88","Alan","W.","Biermann"
"89","Morris","L.","Bigge"
"90","Per","","Bilse"
"91","John","","Bingham"
"92","Mary","","Binion"
"93","Richard","","Bird"
"94","Robin","J.","Birn"
"95","T.","","Bitzou"
"96","Uyless","","Black"
"97","Frank","","Blackler"
"98","Marion","","Blank"
"99","Robert","W.","Blanning"
"100","A.","","Blaser"
"101","Meera","M.","Blattner"
"102","Brian","","Blau"
"103","Ron","S.","Blicq"
"104","Charles","K","Bliss"
"105","Frances","","Blomeley"
"106","Bernard","H.","Boar"
"107","Daniel","G.","Bobrow"
"108","Barbara","","Bochenski"
"109","H.","H.","Bock"
"110","F.","","Bodart"
"111","Susanne","","Bodker"
"112","Leonard","","Bolc"
"113","Werner","","Boldt"
"114","John","E.","Bonnie"
"115","J.","","Boose"
"116","Paul","A.","Booth"
"117","Gary","C.","Borchardt"
"118","Peter","A.","Borden"
"119","Jim","","Boucher"
"120","Theo","","Bougie"
"121","Herman","","Bouma"
"122","Sing","Tze","Bow"
"123","David","J.","Bowers"
"124","J.","M.","Bowers"
"125","Kevin","","Bowyer"
"126","R.","D.","Boyle"
"127","Ronald","J.","Brachman"
"128","Gunilla","","Bradley"
"129","Stewart","","Brand"
"130","Lieve Van den","","Brande"
"131","Ase","","Brandt"
"132","Lewis","M.","Branscomb"
"133","Kenmore","S.","Brathwaite"
"134","Gerrit","","Breede"
"135","R.","L.","Brewster"
"136","Steven","","Broadbent"
"137","R.","John","Brockmann"
"138","Jane","","Brodin"
"139","K.","W.","Brodlie"
"140","Peter","","Brodner"
"141","S.","","Brookes"
"142","Heather","","Brown"
"143","Judith","R.","Brown"
"144","Ogden","","Brown"
"145","P.","J.","Brown"
"146","Ray","","Browne"
"147","Clifford","E.","Brubaker"
"148","Ian","","Bruce"
"149","James","F.","Brule"
"150","Stanley","A.","Budd"
"151","Reinhard","","Budde"
"152","Hans","Jorg","Bullinger"
"153","Alan","","Bundy"
"154","John","G.","Burch"
"155","Jonathan","","Burchell"
"156","Dominique","","Burger"
"157","Jeff","","Burger"
"158","Peter","","Burger"
"159","Barbara","","Burns"
"160","David","","Bush"
"161","G.","","Butcher"
"162","Keith","","Butler"
"163","George","","Calhoun"
"164","Phillip","T.","Callison"
"165","Keith","","Cameron"
"166","Joe","","Campbell"
"167","Stephen","K.","Campbell"
"168","H.","L.","Capron"
"169","J.M.G.","","Caraca"
"170","Jaime","","Carbonell"
"171","Noelle","","Carbonell"
"172","Stuart","K.","Card"
"173","Lu","","Carella"
"174","Jane","M.","Carey"
"175","A.","","Carlisle"
"176","Bob","","Carpenter"
"177","Michel","","Carpentier"
"178","Janet","","Carr"
"179","Joseph","J.","Carr"
"180","Karen","","Carr"
"181","Jane","","Carrasco Chew"
"182","Michael","","Carrier"
"183","John","M.","Carroll"
"184","Charles","","Carter"
"185","Tiziana","","Catarci"
"186","Bernard","J.","Catterall"
"187","Maureen","","Caudill"
"188","Alison","","Cawsey"
"189","Francois","E.","Cellier"
"190","S.","","Ceri"
"191","Christopher","F.","Chabris"
"192","Teresa","","Chambel"
"193","Anthony","","Chandor"
"194","Shi","Kuo","Chang"
"195","Elizabeth","K.","Chapman"
"196","Robert","L.","Chapman"
"197","Antonio","","Charana"
"198","David","","Charles"
"199","Steve","","Charles"
"200","Eugene","","Charniak"
"201","Peter","","Checkland"
"202","Harry","R.","Chesley"
"203","Elliot","","Chikofsky"
"204","Roger","K","Chisholm"
"205","Peter","M","Chisnall"
"206","Dimitris","N.","Chorafas"
"207","Larry","B.","Christensen"
"208","Kaare","","Christian"
"209","Eliot","","Soloway"
"210","William","J.","Clancey"
"211","David","R.","Clark"
"212","T.","S.","Clark"
"213","Anne","M.","Clarke"
"214","Pauline","","Clayton"
"215","D.","M.","Cleal"
"216","Axel","","Cleeremans"
"217","Jeremy","R.","Clough"
"218","J.","C.","Cluley"
"219","Petter","","Coad"
"220","R","B.","Coats"
"221","George","","Cochrane"
"222","G.","","Cockton"
"223","Frans","","Coenen"
"224","Arnon","","Cohen"
"225","Andrew","M.","Cohill"
"226","Philippe","","Coiffet"
"227","Robert","","Cole"
"228","R.","","Colin-Johnson"
"229","Harry","M.","Collins"
"230","David","","Colven"
"231","Nora","","Comstock"
"232","Sharolyn","A.","Converse"
"233","Albert","M.","Cook"
"234","Robert","","Cook"
"235","Ian","","Cooke"
"236","Doug","","Cooper"
"237","Richard","","Cooper"
"238","Ross","","Cooper"
"239","Eileen","","Cornell Way"
"240","Ernesto","","Costa"
"241","Harold","P.","Cott"
"242","Neal","S.","Coulter"
"243","D.","R.","Cox"
"244","Kevin","","Cox"
"245","Marion","","Cranmer"
"246","William","","Crighton"
"247","Nigel","","Cross"
"248","James","","Crown"
"249","Kevin","","Cullen"
"250","Steve","","Cunningham"
"251","Bill","","Curtis"
"252","William","H.","Cushman"
"253","Emilio","Q.","Daddario"
"254","Robert","","Dale"
"255","Roger","","Dale"
"256","Diane","L.","Damos"
"257","Harry","","Daniels"
"258","Paolo","","Dario"
"259","Belur","V.","Dasarathy"
"260","C.","J.","Date"
"261","Patrick","","Daunt"
"262","Jean-Marc","","David"
"263","Hugh","","Davidson"
"264","Robert","P.","Davidson"
"265","Leonora","","Davies"
"266","Lynda","J.","Davies"
"267","Ben","","Davis"
"268","Keith","","Davis"
"269","Wayne","A.","Davis"
"270","R.","A.","Day"
"271","E.","","De Corte"
"272","S.","M.","Deen"
"273","John","","Deep"
"274","J.","","Demongeot"
"275","Sandra","","Denno"
"276","P.","","Deransart"
"277","Barry","","Desmond"
"278","Dan","","Diaper"
"279","Jorge","L.","Diaz-Herrera"
"280","Michael","J.","Dick"
"281","Keith","","Dickerson"
"282","John","W.","Dickey"
"283","S.","","Dijkstra"
"284","Andrew","","Dillon"
"285","Tharam","","Dillon"
"286","Alan","J.","Dix"
"288","M.","","Doerr"
"289","Asuman","","Dogac"
"290","Stephen","","Doheny"
"291","Max","","Donath"
"292","Olof","","Dopping"
"293","Herbert","S.","Dordick"
"294","Merlin","","Dorfman"
"295","Rudiger","","Dornbusch"
"296","Bonnie","Jean","Dorr"
"297","Andrew","","Doswell"
"298","Ann","","Douglas"
"299","Georgios","I.","Doukidis"
"300","Andy","","Downton"
"301","K.","Eric","Drexler"
"302","Hubert","L.","Dreyfus"
"303","Allison","","Druin"
"304","D.","A.","Duce"
"305","James","W.","Dudley"
"306","Thomas","M.","Duffy"
"307","Jan","","Dul"
"308","Joseph","S.","Dumas"
"309","Dick","","Duplessie"
"310","H.","John","Durrett"
"311","Pierre","","Dussauge"
"312","Robert","G.","Dyson"
"313","Rae","A.","Earnshaw"
"314","Ken","","Eason"
"315","Niger","","East"
"316","Ray","E.","Eberts"
"317","Rolf","","Eckmiller"
"318","Ernest","","Edmonds"
"319","Alistair","D.N.","Edwards"
"320","Alan","","Edwards"
"321","Janet","I.","Egan"
"322","Roger","W.","Ehrich"
"323","Dieter","","Eichner"
"324","Jan","van","Eijck"
"325","Marc","","Eisenstadt"
"326","Jan","","Ekberg"
"327","Bruce","","Elbert"
"328","Lance","B.","Eliot"
"329","Stephen","R.","Ellis"
"330","John","","Ellison Kahn"
"331","Jill","H.","Ellsworth"
"332","Ramez","A.","Elmasri"
"333","Gerd","","Elmfeldt"
"334","Ben A.","G.","Elsendoorn"
"335","P.","L.","Emiliani"
"336","Jose","L.","Encarnacao"
"337","Alexandra","","Enders"
"338","F.","L.","Engel"
"339","Joseph","F.","Engelberger"
"340","K.","Anders","Ericsson"
"341","Yasar","","Ersoy"
"342","Christopher","","Evans"
"343","Carl","","Eugene"
"344","Michael","W.","Eysenck"
"345","Lennart","E.","Fahlen"
"346","Michael","C.","Fairhurst"
"347","Aaron","","Falbel"
"348","Mary","","Fallenstein"
"349","Fred","","Fallik"
"350","P.","","Falzon"
"351","Thelma","A.","Farison"
"352","Tim","","Farrell"
"353","Margaret","","Fawcus"
"354","Francesco","","Fedi"
"355","Edward","A.","Feigenbaum"
"356","Steve","","Feiner"
"357","H.","M.","Felix"
"358","Klaus","R.","Fellbaum"
"359","Sidney","S.","Fels"
"360","Norman","","Fenton"
"361","David","L.","Ferguson"
"362","C.","","Fernmuller"
"363","M.","","Filgueiras"
"364","Nicholas","V.","Findler"
"365","Timothy","W.","Finin"
"366","Donald","G.","Fink"
"367","Ronald","A.","Finke"
"368","A cura di F.","","Fioretto"
"369","Maureen","","Firlej"
"370","Charles","N.","Fischer"
"371","Edwin","A.","Fleishman"
"372","Jorgen","","Flensholt"
"373","Padraig","","Flynn"
"374","James","D.","Foley"
"375","Kenneth","D.","Forbus"
"376","Kenneth","M.","Ford"
"377","Tom","","Forester"
"378","Caxton","C.","Foster"
"379","Richard","","Foulds"
"380","H.","W.","Fowler"
"381","Francis H.Roger","","France"
"382","Guido","","Francois"
"383","Chava","","Frankfort-Nachias"
"384","T.","M.","Fraser"
"385","Claude","","Frasson"
"386","John","","Frederiksen"
"387","Christopher","","Freeman"
"388","Eugene","C.","Freuder"
"389","John","P.","Frisby"
"390","Peter","A.","Fritzson"
"391","K.","S.","Fu"
"392","Floyd","","Fuller"
"393","Toshio","","Fukuda"
"394","Richard","","Furuta"
"395","Brian","R.","Gaines"
"396","Elisa","M. del","Galdo"
"397","Jolene","","Galegher"
"398","Ian","","Galer"
"399","Margaret","","Galer"
"400","Cesar","","Galindo-Legaria"
"401","Stephen","I.","Gallant"
"402","Oscar","N.","Garcia"
"403","J.","J.","Garcia-Luna"
"404","Margaret","M.","Gardiner"
"405","G.","N.","Garmonsway"
"406","Les","","Gasser"
"407","Richard","","Gauthier"
"408","K.","C.","Gee"
"409","E.M.S.J. van","","Gennip"
"410","Max","","Giardina"
"411","Joseph","","Giarratano"
"412","Simon","J.","Gibbs"
"413","John","M.","Gill"
"414","Walter","E.","Gilmore"
"415","Paul","","Gilster"
"416","Matt","","Ginsberg"
"417","John","","Gjoderum"
"418","Bryan","","Glastonbury"
"419","Ephraim","P.","Glinert"
"420","Robert","M.","Glorioso"
"421","Clark","","Glymour"
"422","Susan","","Godfrey"
"423","Ben","","Goertzel"
"424","Charles","F.","Goldfarb"
"425","L.","","Goldschlager"
"426","Gene","H.","Golub"
"427","Francois","","Gondrand"
"428","Avelino","J.","Gonzalez"
"429","Rafael","C.","Gonzalez"
"430","Thomas","L.","Good"
"431","Clifford","","Goodman"
"432","L.","P.","Goodstein"
"433","Bo","","Goranzon"
"434","C.","","Gordon"
"435","P.","","Gorny"
"436","Mitch","","Gould"
"437","Joe","","Gradecki"
"438","Ian","S.","Graham"
"439","Stephanos","","Grammenos"
"440","Etienne","","Grandjean"
"441","Colin","","Granger"
"442","Mike","","Gray"
"443","Paul","","Gray"
"444","Wayne","D.","Gray"
"445","P.","","Graziani"
"446","Thomas","","Grechenig"
"447","Joan","","Greenbaum"
"448","Sidney","","Greenbaum"
"449","Saul","","Greenberg"
"450","Michael","","Greener"
"451","Irene","","Greif"
"452","Petar","","Guberina"
"453","Giovanni","","Guida"
"454","Jon","","Gunderson"
"455","Carl","A.","Gunter"
"456","R.","","Gunzenhauser"
"457","Amar","","Gupta"
"458","Uma","","Gupta"
"459","Jan","","Haavard Skjetne"
"460","Michael","","Hacker"
"461","Charles","","Hadfield"
"462","Theresa","","Halley"
"463","Richard","D.","Hallows"
"464","Barry","","Hampshire"
"465","Peter","A.","Hancock"
"466","Jorgen","","Hansen"
"467","Tony","L.","Hansen"
"468","Katherine","","Haramundanis"
"469","Linda","M.","Harasim"
"470","Helle","","Harboe"
"471","Nigel","","Harding"
"472","John","S.","Hares"
"473","Paul","","Harmon"
"474","G.","M.","Harrison"
"475","Michael","","Harrison"
"476","H.","Rex","Hartson"
"477","C.","M.","Haslegrave"
"478","Ursula","","Hass"
"479","Jean","Paul","Haton"
"480","John","","Haugeland"
"481","Robert","P.","Haviland"
"482","I.","T.","Hawryszkiewycz"
"483","S.","I.","Hayakawa"
"484","Tom","","Hayward"
"485","Bill","","Hefley"
"486","Seamus","","Hegarty"
"487","Barbara","","Hehner"
"488","Michael","","Heim"
"489","Siegfried","","Heine"
"490","Loren","","Heiny"
"491","David","L.","Heiserman"
"492","Martin","","Helander"
"493","Donald","V.","Helgeson"
"494","Dan","","Heller"
"495","Martin","","Heller"
"496","Rachelle","","Heller"
"497","Gunnar","","Hellstrom"
"498","William","R.","Hendee"
"499","James","A.","Hendler"
"500","James","E.","Hendrix"
"501","John","","Hendry"
"502","Mike","","Hendry"
"503","Jane","","Henry"
"504","Rosemary","C.","Henze"
"505","John","","Herman"
"506","Daniel","","Hernandez"
"507","W.","","Herzner"
"508","Frank","R.","Hickman"
"509","Ernest","R.","Hilgard"
"510","David","A.","Hill"
"511","James","W.","Hill"
"512","Patricia","","Hill"
"513","Philip","J.","Hills"
"514","Starr","R.","Hiltz"
"515","B.","","Hirsch"
"516","William","D.","Hitt"
"517","Deborah","","Hix"
"518","J.","M.","Hoc"
"519","Robert","R.","Hoffman"
"520","Chris","","Hoffmann"
"521","Monika","","Hoge"
"522","Erik","","Hollnagel"
"523","Clyde","W.","Holsapple"
"524","Frederick","","Holtz"
"525","Steven","R.","Holtzman"
"526","Gregory","","Homatas"
"527","F.R.","A.","Hopgood"
"528","H.","U.","Hoppe"
"529","R.","J.","Horrocks"
"530","William","K.","Horton"
"531","Jim","","Hoskins"
"532","Deirdre","","Howard - Williams"
"533","David","C.","Howell"
"534","Virginia","","Howlett"
"535","Jeffrey","","Hsu"
"536","Roland","","Huber"
"537","Darrell","","Huff"
"538","M.","","Huhns"
"539","Edward","J.","Humphreys"
"540","H.","Allan","Hunt"
"541","Roger","","Hunt"
"542","William","J.","Hunt"
"543","A.","R.","Hurson"
"544","D.","E.","Hussey"
"545","David","","Hutchins"
"546","Jean","","Hutchins"
"547","Ursula","","Huws"
"548","Saundra","","Hybels"
"549","Darrel","","Ince"
"550","Antony","","Inglis"
"551","John","","Iovine"
"552","Toni","","Ivergard"
"553","James","","Jaccard"
"554","Anna","","Jackson"
"555","Peter","","Jackson"
"556","Richard","","Jackson"
"557","Jonathan","P.","Jacky"
"558","Eva","","Jacobsson"
"559","Jean-Marie","","Jacquet"
"560","Dennis","","Jarrett"
"561","Frank","","Jay"
"562","Keith","","Jeffery"
"563","Fred","","Jennings"
"564","He","","Jifeng"
"565","M.","","Jirotka"
"566","Eric","F.","Johnson"
"567","Ingela","","Johnson"
"568","P.","","Johnson"
"569","Yvonne","","Johnson"
"570","Ann","","Jones"
"571","Mark","K.","Jones"
"572","Marlene","","Jones"
"573","Oliver","","Jones"
"574","Robin","","Jones"
"575","Philippe","","Jorrand"
"576","Salme","","Jussila"
"577","Jeffrey","","Jutai"
"578","Jules","E.","Kadish"
"579","Leslie","Pack","Kaelbling"
"580","James","T.","Kajiya"
"581","Roy","S.","Kalawsky"
"582","Abraham","","Kandel"
"583","Nick","","Kanopoulos"
"584","Barry","H.","Kantowitz"
"585","Deborah","","Kaplan"
"586","Robert","M.","Kaplan"
"587","D.","","Karagiannis"
"588","John","","Karat"
"589","Dale","Walter","Karolak"
"590","Waldemar","","Karwowski"
"591","Joe","","Kasser"
"592","Irvin","R.","Katz"
"593","Arie","","Kaufman"
"594","Anthony","R.","Kaye"
"595","Brian","H.","Kaye"
"596","Greg","","Kearsley"
"597","Keith","","Keen"
"598","Ulf","","Keijer"
"599","Peter","R.","Keller"
"600","David","P.","Kelso"
"601","Thomas","","Kempnep"
"602","Kenneth","E.","Kendall"
"603","George","","Kennedy"
"604","Sean","","Kenny"
"605","Brian","W.","Kernighan"
"606","Tarek","M.","Khalil"
"607","Oussama","","Khatib"
"608","Gregor","","Kiczales"
"609","Tim","","Kientzle"
"610","Won","","Kim"
"611","Sue","","King"
"612","Todd","","King"
"613","J.","","Kirakowski"
"614","M.","A.R.","Kirby"
"615","Samuel","A.","Kirk"
"616","David","","Kirsh"
"617","Barry","I.","Kirwan"
"618","B.","","Kitous"
"619","Mary","","Kittredge"
"620","Lars","","Kjelldahl"
"621","Gerhard","","Klause"
"622","E.","","Klein"
"623","Mark","","Klein"
"624","Edmund","","Klemmer"
"625","F.","","Klix"
"626","Shiz","","Kobara"
"627","Alfred","","Kobsa"
"628","Fumio","","Kodama"
"629","John","F.","Koegel Buford"
"630","Jurgen","","Koenemann-Belliveau"
"631","Franz","","Koller"
"632","Janet","","Kolodner"
"633","Piet","M.","Kommers"
"634","J.","","Komorowski"
"635","Dimitris","","Kontoudis"
"636","C.","","Kooij"
"637","Philip","","Kotler"
"638","A.","","Koutsoyiannis"
"639","James","A.","Kowal"
"640","Robbert","J.","Kraan"
"641","Harmen","","Kragt"
"642","Paul","","Krause"
"643","Erwin","","Kreyszig"
"644","Tove","","Kristiansen"
"645","Karl","H.E.","Kroemer"
"646","Ed","","Krol"
"647","Hans","Jurgen","Kugler"
"648","Hans","J.","Kuppers"
"649","Raymond","","Kurzweil"
"650","J.","G.","Kyle"
"651","Gunnar","","Kylen"
"652","Brian","C.","Ladd"
"653","Tomas","","Lagerwall"
"654","M.","F.","Laires"
"655","Susanne","P.","Lajoie"
"656","Gerhard","","Lakemeyer"
"657","Leslie","","Lamport"
"658","Christopher","","Lampton"
"659","A.","","Lamsweerde"
"660","Duncan","","Langford"
"661","Mary","Jo","Langhorne"
"662","Anthony","","Langton"
"663","Mark","W.","Lansdale"
"664","L.","Casey","Larijani"
"665","Jill","H.","Larkin"
"666","Jean","Louis","Lassez"
"667","Roy","","Latham"
"668","Kenneth","C.","Laudon"
"669","Ron","","Laughery"
"670","Brenda","","Laurel"
"671","Jean Louis","","Lauriere"
"672","Robert","W.","Lawler"
"673","Richard","","Layard"
"674","T. Van","","Le"
"675","Martin","","Lea"
"676","Byeong","Gi","Lee"
"677","Jae","Kyu","Lee"
"678","John","","Lee"
"679","Kathy","S.","Lee"
"680","W.","R.","Lee"
"681","Derek","","Leebaert"
"682","Jan","Van","Leeuwen"
"683","William","E.","Leigh"
"684","Seymour","","Lemeshow"
"685","Enrica","","Lemut"
"686","Maurizio","","Lenzerini"
"687","Dayle","","Levine"
"688","John","","Levine"
"689","Lisa","J.","Levine"
"690","Douglas","","Lewin"
"691","Paul","S.","Licker"
"692","M.","Andrew","Life"
"693","Vladimir","","Lifschitz"
"694","Peter","H.","Lindsay"
"695","Jan","","Lindstrom"
"696","Gardner","","Lindzey"
"697","Arthur","G.","Lippiatt"
"698","Gary","","Little"
"699","Witold","","Litwin"
"700","Jorge","","Lobo"
"701","J.","","Long"
"702","Dennis","","Longley"
"703","G.","","Longworth"
"704","Pericles","","Loucopoulos"
"705","Ray","","Loveridge"
"706","E.","J.","Lovesey"
"707","Henry","C.","Lucas"
"708","Paul","","Luff"
"709","Fred","J.","Lundin"
"710","Margita","","Lundman"
"711","Daniel","C.","Lynch"
"712","Paul","A.","Lynn"
"713","Michael","R.","Lyu"
"714","Carole","M.","Mablekos"
"715","Lindsay","","MacDonald"
"716","L.","A.","Maciaszek"
"717","Wendy","E.","Mackay"
"718","Frank","","Maddix"
"719","Pattie","","Maes"
"720","J.","De","Maeseneer"
"721","C.","W.M.","Magnee"
"723","M.","C.","Maguire"
"724","Ann","","Maher"
"725","Ann","","Majchrzak"
"726","John","","Major"
"727","John","","Malpas"
"728","Steven","L.","Mandell"
"729","Michael","","Mandelstam"
"730","Ellen","B.","Mandinach"
"731","Jason","J.","Manger"
"732","Bryan","F.J.","Manly"
"733","Marilyn","M.","Mantei"
"734","David","","Marca"
"735","Aaron","","Marcus"
"736","Mary","","Marlborough Lodge"
"737","C.","Marlin ""Lin""","Brown"
"738","Catherine","","Marsh"
"739","Garry","","Marshall"
"740","George","R.","Marshall"
"741","Graham","","Martin"
"742","James","","Martin"
"743","W.","","Martin"
"744","Abraham","H.","Maslow"
"745","Michael","","Masuch"
"746","Yuij","","Masuda"
"747","Carol","A.","Mathews"
"748","Geoffrey","","Matthews"
"749","Nelson","M.","Mattos"
"750","Mark","T.","Maybury"
"751","Laurance","","Mayer"
"752","Roxanna","","Mayer-Johnson"
"753","Deborah","J.","Mayhew"
"754","Ray","","McAleese"
"755","Eugene","T.","McDonald"
"756","Karen","L.","McGraw"
"757","Patrick","G.","McKeown"
"758","James","D.","McKinney"
"759","C.","","McKnight"
"760","William","T.","McLeod"
"761","Thomas","A.","McMahon"
"762","Dennis","James","McMahon"
"763","Kenneth","L.","McMillan"
"764","Shirley","","McNaughton"
"765","Patrick","","McNeill"
"766","Margaret","","McPhee"
"767","R.","","Mead"
"768","D.","H.","Meadows"
"769","Stuart","","Mealing"
"770","A.","E.","Meelhuijsen"
"771","David","","Meister"
"772","William","","Mendenhall"
"773","Philip","","Metzger"
"774","Bertrand","","Meyer"
"775","David","E.","Meyer"
"776","Jean-Arcady","","Meyer"
"777","John","A.","Michon"
"778","Elaine","","Miles"
"779","T.","R.","Miles"
"780","Ingalill","","Miller"
"781","Steve","","Miller"
"782","D.","","Millington"
"783","Daniel","","Minoli"
"784","Barbara","","Minto"
"785","Anil","","Mital"
"786","Hunter","D.","Mitchell"
"787","Melanie","","Mitchell"
"788","Robert","N.","Moll"
"789","Karl-Heinrich","H.","Moller"
"790","Morten","","Moller"
"791","Fabian","","Monds"
"792","B.","","Monien"
"793","Leonor","","Moniz Pereira"
"794","Andrew","","Monk"
"795","Moira","","Monteith"
"796","Diane","","Montgomery"
"797","G.De","","Moor"
"798","Neville","","Moray"
"799","Ralph","","Morelli"
"800","Kevin","","Morgan"
"801","Katharina","","Morik"
"802","Sarah","","Morley"
"803","Brian","","Morris"
"804","Mano","M.","Morris"
"805","Peter","","Morris"
"806","Mike","","Morrison"
"807","Chris","","Morton"
"808","Ronald","R.","Mourant"
"809","R.","","Moyse"
"810","Stephen","","Muggleton"
"811","James","A.","Mulick"
"812","Elisabeth","","Muller"
"813","Nathan","J.","Muller"
"814","Enid","","Mumford"
"815","Harry","J.","Murphy"
"816","Dianne","M.","Murray"
"817","Linda","A.","Murray"
"818","Brad","A.","Myers"
"819","Lary","L.","Myers"
"820","Renee","","Myers"
"821","John","","Mylopoulos"
"822","H.","Troy","Nagle"
"823","Joan","G.","Nagle"
"824","Ajit","","Narayanan"
"825","Lisa","","Neal"
"826","Massimo","","Negrotti"
"827","Dorothy","","Nelkin"
"828","Ramakant","","Nevatia"
"829","Paul","","Newbold"
"830","William","M.","Newman"
"831","Raymond","S.","Nickerson"
"832","Jakob","","Nielsen"
"833","Jack","M.","Nilles"
"834","Michael","A.","Noll"
"835","Donald","A.","Norman"
"836","Kent","L.","Norman"
"837","Kageyu","","Noro"
"838","D.","H.","Norrie"
"839","Peter","","Norton"
"840","Miguel","","Nussbaum"
"841","Hyacinth","Sama","Nwana"
"842","Harry","","Nystrom"
"843","Thomas","G.","O'Brien"
"844","Ken","","O'Connell"
"845","Lisa","","O'Conner"
"846","Barry","","O'Shea"
"847","Tim","","O'Shea"
"848","Sean","","O Siochru"
"849","Brian","","Oakley"
"850","David","J.","Oborne"
"851","Val","","Occardi"
"852","Piergiorgio","","Odifreddi"
"853","Phil","","Odor"
"854","K.","G.","Olesen"
"855","Armando","","Oliveira"
"856","Dick","","Oliver"
"857","W.","","Olphert"
"858","Dan","R.","Olsen"
"859","Gary","M.","Olson"
"860","A.","N.","Oppenheim"
"861","A.","","Orlando"
"862","Andrew","","Ortony"
"863","Adam","","Osborne"
"864","Hubert","","Osterle"
"865","Herbert","J.","Oyer"
"866","Karl","W.","Ott"
"867","Richard","","Owen"
"868","Elizabeth","","Oxborrow"
"869","Uday","O.","Pabrai"
"870","Andreas","","Paepcke"
"871","Michael","","Paetsch"
"872","Meilir","","Page-Jones"
"873","Anastasia","","Pagnoni"
"874","Gregory","Peter","Panos"
"875","Joe","","Pantuso"
"876","M.","","Papazoglou"
"877","F.","H.","Papenmeier"
"878","Seymour","","Papert"
"879","Chan","S.","Park"
"880","Kyung","S.","Park"
"881","Marilyn","M.","Parker"
"882","Sybil","P.","Parker"
"883","Andrew","M.","Parkes"
"884","Kamran","","Parsaye"
"885","Derek","","Partridge"
"886","Christopher","","Pass"
"887","Teo","","Pavlidis"
"888","Edmund","C.","Payne"
"889","Brian","","Peacock"
"890","John","B.","Peatman"
"891","L.","","Pecchia"
"892","Antonio","","Pedotti"
"893","Bjorn","","Pehrson"
"894","Fernando","C.N.","Pereira"
"895","Leonor","M.","Pereira"
"896","Luis","Moniz","Pereira"
"897","Gary","","Perlman"
"898","Leonard","G.","Perlman"
"899","Lucy","","Petrovich"
"900","Gunther","E.","Pfaff"
"901","Frank","","Pfenning"
"902","Hoang","","Pham"
"903","Kathryn","E.","Phillips"
"904","Gregory","","Piatetsky-Shapiro"
"905","Rachel","M.","Pilkington"
"906","Ken","","Pimentel"
"907","Catherine","","Plaisant"
"908","Paymond","","Plant"
"909","Thomas","","Plum"
"910","I.","","Placencia-Porrero"
"911","Michael","I.","Posner"
"912","Ted","","Pottage"
"913","A.","S.","Poulton"
"914","Philip","J.","Pratt"
"916","Jessica","J.","Presperin"
"917","William","H.","Press"
"918","Jonathan","","Price"
"919","Mark","","Pridham"
"920","Ruben","","Prieto-Diaz"
"921","David","","Pritty"
"922","John","G.","Proakis"
