"JournalID","Title","Publisher","Theme","StartMonth","EndMonth","Year","Volume","Number","CopiesNo","PhotocopiesNo","ISSN","Subscriber","Shelf","Language","Available"
"266","COMPUTER GRAPHICS WORLD","PennWell","Knowledge-Based Engineering, Animation in Court, The Ultimate Survey, Color on the PC","11","null","1991","14","11","1","0","-027-4159","CS","CS-LIB","English","1"
"267","COMPUTER GRAPHICS WORLD","PennWell","Graphics in Medicine, Visions of Venus, Rapid Prototyping, Real Estate Mapping","12","null","1991","14","12","1","0","-027-4159","CS","CS-LIB","English","1"
"268","COMPUTER GRAPHICS WORLD","PennWell","Morphing Magic, Photo-Quality Printing, Solid Modelling Debate, MAC 3D Design","1","null","1992","15","1","1","0","-027-4159","CS","CS-LIB","English","1"
"269","COMPUTER GRAPHICS WORLD","PennWell","Design Optimization, Full-Motion Video, Evaluating Windows 3.0","2","null","1992","15","2","1","0","-027-4159","CS","CS-LIB","English","1"
"270","COMPUTER GRAPHICS WORLD","PennWell","Graphics in Sculpture, CAD & GIS Unite, Multimedia Survey","3","null","1992","15","3","1","0","-027-4159","CS","CS-LIB","English","1"
"271","COMPUTER GRAPHICS WORLD","PennWell","Video Editing, An Interview with Jaron Lanier, Animating CAD Data","4","null","1992","15","4","1","0","-027-4159","CS","CS-LIB","English","1"
"272","COMPUTER GRAPHICS WORLD","PennWell","Mechanism Analysis, Playing Games in Virtual Reality, Flight Simulation","5","null","1992","15","5","1","0","-027-4159","CS","CS-LIB","English","1"
"273","COMPUTER GRAPHICS WORLD","PennWell","Architectural Animation, Digital Color, Proofing Systems","6","null","1992","15","6","1","0","-027-4159","CS","CS-LIB","English","1"
"274","COMPUTER GRAPHICS WORLD","PennWell","Visualizing Scientific Data, A New Age in Supercomputing, Multimedia in Our Schools, 3D Digitizers","7","null","1992","15","7","1","0","-027-4159","CS","Cs-LIB","English","1"
"275","COMPUTER GRAPHICS WORLD","PennWell","Multimedia Presentation, Color Hard-Copy Report, Universities Embrace GIS, Accelerating Windows","8","null","1992","15","8","1","0","-027-4159","CS","CS-LIB","English","1"
"276","COMPUTER GRAPHICS WORLD","PennWell","Color Management, 2D PC CAD Software, Reviewing 3D Studio","9","null","1992","15","9","1","0","-027-4159","CS","CS-LIB","English","1"
"277","COMPUTER GRAPHICS WORLD","PennWell","GIS and Multimedia Unite, Desktop Video Special Report, PC-Based Image Processing, Reviewing Renaissance","10","null","1992","15","10","1","0","-027-4159","CS","CS-LIB","English","1"
"278","COMPUTER GRAPHICS WORLD","PennWell","Modelling Complex Surfaces, Engineering Visualization, Landscape Architecture","11","null","1992","15","11","1","0","-027-4159","CS","CS-LIB","English","1"
"279","COMPUTER GRAPHICS WORLD","PennWell","Scientific and Medical Animation, Studying Galaxy Formation","12","null","1992","15","12","1","0","-027-4159","CS","CS-LIB","English","1"
"280","COMPUTER GRAPHICS WORLD","PennWell","Broadcast Animation, Erasable Optical Storage, MAC Presentation Software","1","null","1993","16","1","1","0","-027-4159","CS","CS-LIB","English","1"
"281","COMPUTER GRAPHICS WORLD","PennWell","Artificial Life, Designing an Airport, Exploring Image Databases, A Guide to Video Walls","2","null","1993","16","2","1","0","-027-4159","CS","CS-LIB","English","1"
"282","COMPUTER GRAPHICS WORLD","PennWell","Computer Art: Still Struggling for Acceptance/Video on the Mac/2D Illustration Software","3","null","1993","16","3","1","0","-027-4159","CS","CS-LIB","English","1"
"283","COMPUTER GRAPHICS WORLD","PennWell","Building 3D Models with RenderMan, The Low-Cost Options for 3d Animation, Video on a Network, Windows NT Impacts the CAD World","4","null","1993","16","4","1","0","-027-4159","CS","CS-LIB","English","1"
"284","COMPUTER GRAPHICS WORLD","PennWell","Analyzing CAD Models From the Inside Out/A Buyer's Market for 24-Bit PC Boards/Sketch Modeling/Compressing Images on the PC and Mac","5","null","1993","16","5","1","0","-027-4159","CS","CS-LIB","English","1"
"285","COMPUTER GRAPHICS WORLD","PennWell","A Giant Leap for Particle Animation","7","null","1993","16","7","1","0","-027-4159","CS","CS-LIB","English","1"
"286","COMPUTER GRAPHICS WORLD","PennWell","The AMIGA Platform/Sorting Through Large-Screen Monitors/Sound Advice on Multimedia Sound Boards","8","null","1993","16","8","1","0","-027-4159","CS","CS-LIB","English","1"
"287","COMPUTER GRAPHICS WORLD","PennWell","Modeling 3D Terrain/The Quest for ""True"" 3D Engineering/More Power on the PC!","9","null","1993","16","9","1","0","-027-4159","CS","CS-LIB","English","1"
"288","COMPUTER GRAPHICS WORLD","PennWell","Advances in Rendering/A Beginner's Guide to Multimedia","10","null","1993","16","10","1","0","-027-4159","CS","CS-LIB","English","1"
"378","CROSSROADS THE ACM STUDENT MAGAZINE","ACM Press","Networking","9","null","1995","2","1","1","0","","δείγμα","G122","English","1"
"379","CyberEdge Journal","CyberEdge Information Services","The Best VR Products in the World","3","4","1995","5","2","1","0","1061-3099","CS","G117","English","1"
"380","CyberEdge Journal","CyberEdge Information Services","Product of the Year Finalists Announced/ Welcome to Diamond Park","1","2","1996","6","1","1","0","1061-3099","CS","G117","English","1"
"381","CyberEdge Journal","CyberEdge Information Services","Research: Simulator Sickness and Virtual Environments/ The Best VR 1995-the 5th Anniversary Edition","3","4","1996","6","2","1","0","1061-3099","CS","G117","English","1"
"382","CyberEdge Journal","CyberEdge Information Services","Application: Virtual Archaeology Better Than the Real Thing?/ The Virtual Zoo Gorillas in the Bits","5","6","1996","6","3","1","0","1061-3099","CS","G117","English","1"
"383","CyberEdge Journal","CyberEdge Information Services","Exciting Conference News!/ The Virtual Playground/ 3D Design & Virtual Humans","7","8","1996","6","4","1","0","1061-3099","CS","G117","English","1"
"384","CyberEdge Journal","CyberEdge Information Services","Haptics Today/ At Last: An Ommi-Directional Treadmill","9","10","1996","6","5","1","0","1061-3099","CS","G117","English","1"
"385","CyberEdge Journal's Virtual Reality Products","The Delaney Companies","Contents: Before you Build a World, Your Benchmark Glossary, Publishers of World Building Software","1","2","1995","1","2","1","0","1079-2694","δείγμα","G121","English","1"
"386","DATA & KNOWLEDGE ENGINEERING","Elsevier Science B.V.","Papers: Formal deadlock elimination in an object oriented conceptual schema/ Implementation of a logic-based support system for concurrent engineering","3","null","1995","15","1","1","0","0169-023X","δείγμα","G122","English","1"
"387","DATA ACQUISITION AND CONTROL","MetraByte","Personal Computer based Instrumentation products for IBM PC/XT/AT & Compatibles","13","null","1989","21","1","1","0","","δείγμα","CS-LIB","English","1"
"388","DATA COMMUNICATIONS (INTERNATIONAL)","McGraw-Hill","Super Servers Energine Networks","3","null","1990","19","3","1","0","0363-6399","CS","CS-LIB","English","1"
"389","DATA COMMUNICATIONS (INTERNATIONAL)","McGraw-Hill","LAN Strategies - SNMP","17","null","1990","19","4","1","0","0363-6399","CS","CS-LIB","English","1"
"390","DATA COMMUNICATIONS (INTERNATIONAL)","McGraw-Hill","NCOP Deregulation - SNA Management","4","null","1990","19","5","1","0","0363-6399","CS","CS-LIB","English","1"
"391","DATA COMMUNICATIONS (INTERNATIONAL)","McGraw-Hill","Network Timing - MAC Layer Bridges","5","null","1990","19","6","1","0","0363-6399","CS","CS-LIB","English","1"
"392","DATA COMMUNICATIONS (INTERNATIONAL)","McGraw-Hill","Channel Extenders - Broadband Networks","6","null","1990","19","7","1","0","0363-6399","CS","CS-LIB","English","1"
"393","DATA COMMUNICATIONS (INTERNATIONAL)","McGraw-Hill","LAN Strategies - NOSs for Corporate Nets","17","null","1990","19","8","1","0","0363-6399","CS","CS-LIB","English","1"
"394","DATA COMMUNICATIONS (INTERNATIONAL)","McGraw-Hill","Network Hubs - Ethernet NICs","7","null","1990","19","9","1","0","0363-6399","CS","CS-LIB","English","1"
"395","DATA COMMUNICATIONS (INTERNATIONAL)","McGraw-Hill","Outsourcing - Multiport Bridges","8","null","1990","19","10","1","0","0363-6399","CS","CS-LIB","English","1"
"396","DATA COMMUNICATIONS (INTERNATIONAL)","McGraw-Hill","Portable Communications - T1/E1 Muxes","9","null","1990","19","11","1","0","0363-6399","CS","CS-LIB","English","1"
"397","DATA COMMUNICATIONS (INTERNATIONAL)","McGraw-Hill","LAN Strategies - SQL Database Servers","17","null","1990","19","12","1","0","0363-6399","CS","CS-LIB","English","1"
"398","DATA COMMUNICATIONS (INTERNATIONAL)","McGraw-Hill","Public X.25 Services - Evaluating SNA Gateways","10","null","1990","19","13","1","0","0363-6399","CS","CS-LIB","English","1"
"399","DATA COMMUNICATIONS (INTERNATIONAL)","McGraw-Hill","European ISDN - Enterprise Network Management","11","null","1990","19","14","1","0","0363-6399","CS","CS-LIB","English","1"
"400","DATA COMMUNICATIONS (INTERNATIONAL)","McGraw-Hill","LAN Strategies - Token Ring Bridges","17","null","1990","19","15","1","0","0363-6399","CS","CS-LIB","English","1"
"401","DATA COMMUNICATIONS (INTERNATIONAL)","McGraw-Hill","Multiprotocol Networks - Market Forecast","12","null","1990","19","16","1","0","0363-6399","CS","CS-LIB","English","1"
"402","DATA COMMUNICATIONS (INTERNATIONAL)","McGraw-Hill","Testing High-Speed Modems","1","null","1991","20","1","1","0","0363-6399","CS","CS-LIB","English","1"
"403","DATA COMMUNICATIONS (INTERNATIONAL)","McGraw-Hill","Testing Multiprotocol Routers","2","null","1991","20","2","1","0","0363-6399","CS","CS-LIB","English","1"
"404","DATA COMMUNICATIONS (INTERNATIONAL)","McGraw-Hill","European EDI: Business as Unusual. Network Security: Moving Up to Layer 7","3","null","1991","20","3","1","0","0363-6399","CS","CS-LIB","English","1"
"405","DATA COMMUNICATIONS (INTERNATIONAL)","McGraw-Hill","LAN Strategies Distributed Applications","3","null","1991","20","4","1","0","0363-6399","CS","CS-LIB","English","1"
"406","DATA COMMUNICATIONS (INTERNATIONAL)","McGraw-Hill","Two Scenarios for Radical Change 1. IBM Reformulates SNA 2. The End for the FEP?","4","null","1991","20","5","1","0","0363-6399","CS","CS-LIB","English","1"
"407","DATA COMMUNICATIONS (INTERNATIONAL)","McGraw-Hill","Special Report on LAN/WAN Protocol Analyzers","5","null","1991","20","6","1","0","0363-6399","CS","CS-LIB","English","1"
"408","DATA COMMUNICATIONS (INTERNATIONAL)","McGraw-Hill","Special Report on Modems","6","null","1991","20","7","1","0","0363-6399","CS","CS-LIB","English","1"
"409","DATA COMMUNICATIONS (INTERNATIONAL)","McGraw-Hill","LAN Strategies - Router Backbones Unite Terminals and LANs","17","null","1991","20","8","1","0","0363-6399","CS","CS-LIB","English","1"
"410","DATA COMMUNICATIONS (INTERNATIONAL)","McGraw-Hill","1. LAN Interconect via Microwave 2. Net Management Vendors Come Through with APls","7","null","1991","20","9","1","0","0363-6399","CS","CS-LIB","English","1"
"411","DATA COMMUNICATIONS (INTERNATIONAL)","McGraw-Hill","1. X.400 E-Mail on LANs 2. A Low-Cost Multiplexer for European Networks 3. Video  and LANs","8","null","1991","20","10","1","0","0363-6399","CS","CS-LIB","English","1"
"412","DATA COMMUNICATIONS (INTERNATIONAL)","McGraw-Hill","Technology Deficit/ Telecom 95","10","null","1995","24","14","1","0","0363-6399","δείγμα","G121","English","1"
"413","DHL Express News","DHL International Hellas","Νέες Τεχνολογίες και το Μέλλον του Τραπεζικού Συστήματος/ Ογύρος του κόσμου με την DHL","15","null","1995","0","1","1","0","","δείγμα","G122","Ελληνικό","1"
"414","DISABILITY AND REHABILITATION","Taylor & Francis","Social epidemiology of falls among the elderly/Criteria for disability/Cross-cultural assessment of health problems/Perceptual impairment after stroke/Functional assessment","7","9","1992","14","3","1","0","0963-8288","δείγμα","CS-LIB","English","1"
"415","Distributed Systems Engineering","The British Computer Society, IEE, IP","The journal focuses on the integration of processing, storage and communication subsystems within a distributed or networked system.","9","null","1993","1","1","1","0","0967-1846","δείγμα","G122","English","1"
"416","Electronics","Penton Publication","Computers & Software/Peripherals/Communications/Semiconductors/Components","10","null","1988","61","16","1","0","0883-4989","CS","CS-LIB","English","1"
"417","Electronics","Penton Publication","Decade of BiCMOS/Digital Scopes/Multimedia headache","12","null","1990","63","12","1","0","0883-4989","CS","CS-LIB","English","1"
"418","Electronics","Penton Publication","World Market Forecast","1","null","1991","64","1","1","0","0883-4989","CS","CS-LIB","English","1"
"419","Electronics","Penton Publication","Multimedia","2","null","1991","64","2","1","0","0883-4989","CS","CS-LIB","English","1"
"420","Electronics","Penton Publication","Wireless Communications","3","null","1991","64","3","1","0","0883-4989","CS","CS-LIB","English","1"
"421","Electronics","Penton Publication","Workstations","4","null","1991","64","4","1","0","0883-4989","CS","CS-LIB","English","1"
"422","Electronics","Penton Publication","Service","5","null","1991","64","5","1","0","0883-4989","CS","CS-LIB","English","1"
"423","Electronics","Penton Publication","A New Look for the PC Industry","6","null","1991","64","6","1","0","0883-4989","CS","CS-LIB","English","1"
"424","Electronics","Penton Publication","Semiconductor Fabs","7","null","1991","64","7","1","0","0883-4989","CS","CS-LIB","English","1"
"425","Electronics","Penton Publication","The Battle for the Software Vendor/Computers/Supercomputers/CAE/CAD","8","null","1991","64","8","1","0","0883-4989","CS","CS-LIB","English","1"
"426","Electronics","Penton Publication","The Politics of Technology","9","null","1991","64","9","1","0","0883-4989","CS","CS-LIB","English","1"
"427","Electronics","Penton Publication","Managing Change","10","null","1991","64","10","1","0","0883-4989","CS","CS-LIB","English","1"
"428","Electronics","Penton Publication","Technology for sale/Computers/Semiconductors/Networks","11","null","1991","64","11","1","0","0883-4989","CS","CS-LIB","English","1"
"429","Electronics","Penton Publication","Computers/Operating Systems","12","null","1991","64","12","1","0","0883-4989","CS","CS-LIB","English","1"
"430","Electronics","Penton Publication","Business/Technology perspectives for global electronics management","1","null","1992","65","1","1","0","0883-4989","CS","CS-LIB","English","1"
"431","Engineering Design & Automation","John Wiley & Sons","Papers: A Formal Process Planning Schema for Shop Floor Control","15","null","1995","1","1","1","0","1077-2642","δείγμα","G122","English","1"
"432","Ergonomics","Taylor & Francis","Ergonomics news and information","4","null","1984","27","4","1","0","0014-0139","δείγμα","CS-LIB","English","1"
"433","Ergonomics","Taylor & Francis","Special issue: Ergonomics for quality control in Japan","7","null","1984","27","7","1","0","0014-0139","δείγμα","CS-LIB","English","1"
"434","Ergonomics Abstracts","Taylor & Francis","Special issue Human-Computer Interaction","1","null","1984","16","1","1","0","0046-2446","δείγμα","CS-LIB","English","1"
"435","Ergonomics Abstracts","Taylor & Francis","This journal provides details of recent additions to the international literature on human factors in man-machine systems and physical environmental influences.","4","null","1984","16","2","1","0","0046-2446","δείγμα","CS-LIB","English","1"
"447","Expressive Communication Aids","Prentke Romich Company","Introduction to the Selection and Application of Aids, Education/Training Aids Introduction to Technology in the Education Setting","17","null","","0","0","1","0","","δείγμα","CS-LIB","English","1"
"448","HARdcopy WHERE DEC USERS TURN FOR RESOURCES AND INNOVATION","Seldin Publishing","Computer Graphics '86 Overview","5","null","1986","6","5","1","0","0279-8123","δείγμα","CS-LIB","English","1"
"449","HARdcopy WHERE DEC USERS TURN FOR RESOURCES AND INNOVATION","Seldin Publishing","1986 Buyer's Guide To DEC and DEC Compatibles","1","null","1986","15","1","1","0","0279-8123","δείγμα","CS-LIB","English","1"
"450","HELIOSCOPE","HELIOS","Το Ευρωπαϊκό Φόρουμ των Ατόμων με Ειδικές Ανάγκες","16","null","1994","","1","3","0","","δείγμα","G122","Ελληνικό","1"
"451","HELIOSCOPE","HELIOS","Εργασία η πρόκληση της δεκαετίας του 1990, Ευρωπαϊκή Ημέρα των ατόμων με ειδικές ανάγκες 1994, Νέες κοινοτικές πρωτοβουλίες Employment και Adapt","13","null","1994","","2","1","0","","CS","CS-LIB","Ελληνικό","1"
"452","HELIOSCOPE","HELIOS","Εκπαίδευση για Ολους / Ανθρώπινα δικαιώματα / Ευρωπαϊκό Κοινοβούλιο","15","null","1995","","3","2","0","","CS","G117","Ελληνικό","1"
"453","HELIOSCOPE","HELIOS","Η Κοινωνική ένταξη και η αυτόνομη διαβίωση / Ανθρώπινα δικαιώματα: η έννοια της ισότητας / Το σύστημα HANDYNET","16","null","1995","","4","2","0","","CS","G117","Ελληνικό","1"
"454","HELIOSCOPE","HELIOS","Θέμα: Η Λειτουργική Αποκατάσταση/ Κεντρικά και ανατολική Ευρώπη: στρατηγικές για συνεργασία/ Οι προτότυποι κανόνες του ΟΗΕ/ Σύνδεσμος των Ευρωπαϊκών Κοινωνικών ΜΚΟ","14","null","1995","","5","2","0","","CS","G117","Ελληνικό","1"
"455","HELIOSCOPE","HELIOS","Οι πρότυποι κανόνες του ΟΗΕ για την Εξίσωση των Ευκαιριών για τα Άτομα με Ειδικές Ανάγκες-ένα πολιτικό εργαλείο για την Ευρωπαϊκή Ένωση;","13","null","1995","","6","1","0","","CS","G117","Ελληνικό","1"
"456","HELIOSCOPE","HELIOS","Ο αντίκτυπος των νέων τεχνολογιών","15","null","1996","","7","1","0","","CS","G120A","Ελληνικό","1"
"457","Helpware Magazine","IBM Eurocoordination","Secret short cuts / Sunken treasure / Information Overload","16","null","1994","0","0","1","0","","δείγμα","G122","English","1"
"472","HUMAN-COMPUTER INTERACTION","Lawrence Erlbaum Associates","A journal of Theoretical, Empirical and Methodological Issues of User Science and of System Design.","17","null","1992","7","1","1","0","0737-0024","δείγμα","G122","English","1"
"473","HUMAN-COMPUTER INTERACTION","Lawrence Erlbaum Associates","A journal of Theoretical, Empirical and Methodological Issues of User Science and of System Design.","17","null","1992","7","2","1","0","0737-0024","δείγμα","G122","English","1"
"513","I & T MAGAZINE","European Commission","Idustry and Telecoms: Giving Europe the Competitive Edge","13","null","1993","0","12","2","0","1017-6950","CS","CS-LIB","English","1"
"514","I & T MAGAZINE","European Commission","Transeuropean information networks","15","null","1994","0","13","1","0","1017-6950","CS","CS-LIB","English","1"
"515","I & T MAGAZINE","European Commission","From Gutenbery to Multimedia","16","null","1994","0","14","1","0","1017-6950","CS","CS-LIB","English","1"
"516","I & T MAGAZINE","European Commission","More Competitive Industry through Research","14","null","1994","0","15","1","0","1023-425X","CS","CS-LIB","English","1"
"517","I & T MAGAZINE","European Commission","The Information Society: the way ahead","13","null","1994","0","16","2","0","1023-425X","CS","CS-LIB","English","1"
"518","I & T MAGAZINE","European Commission","The Information Society: Practical Applications/ Alarm - Fridge door Left open","15","null","1995","0","17","2","0","1023-425X","CS","G121","English","1"
"519","I & T MAGAZINE","European Commission","The Information Society: global relations and the EU","10","null","1995","0","18","1","0","1023-425X","CS","G121","English","1"
"520","I & T MAGAZINE","European Commission","Human aspects of the information society/ User-friendly government/ Global video games/ Telecommunications and elderly or disabled people","4","null","1996","","19","1","0","1023-425X","CS","G121","English","1"
"521","ID Systems","Helmers Publishing, Inc.","Auto ID  in Electronics Manufacturing/ A Major Map Maker Tracks Distribution.. / Hewlett-Packard Automates Label Application..","3","null","1996","4","3","1","0","1081-275X","δείγμα","G122","English","1"
"522","IEE COLLOQUIUM COMPUTING AND CONTROL VISION","IEE","Colloquium on User Interface Management Systems.","11","null","1989","0","0","1","0","","δείγμα","G123","English","2"
"549","IEE ENGINEERING MANAGEMENT","IEE","1. Management Review 2. The transformation of British airways 3. Company strategy-a role for the electrical engineer 4. Standards, product liability and the consumer 5. Finance-an introduction.","2","null","1991","1","1","1","0","0960-7919","δείγμα","G122","English","1"
"550","IEE ENGINEERING SCIENCE AND EDUCATION JOURNAL","IEE","Education & Training, History of Technology, Sound science, education and technology","2","null","1992","1","1","1","0","0963-7346","δείγμα","G122","English","1"
"551","IEE INTELLIGENT SYSTEMS ENGINEERING","IEE","1. Adaptive fuzzy system for target tracking 2. Qualitative modelling of continuous-variable systems by means of non-deterministic automata","14","null","1992","1","1","1","0","0963-9640","δείγμα","G122","English","1"
"619","IEE SOFTWARE ENGINEERING JOURNAL","IEE","Analogy as a paradigm for specification reuse, Software technology transfer, Modular Object-Oriented Notation.","1","null","1991","6","1","1","0","0268-6961","δείγμα","G122","English","1"
"620","IEE SOFTWARE ENGINEERING JOURNAL","IEE","Special issue on Software beyond 2001","11","null","1994","9","6","1","0","0268-6961","CS","CS-LIB","English","1"
"881","IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS","IEEE","Computer-Aided Modelling, Analysis and Design of Communication Networks II","1","null","1991","9","1","1","0","0733-8716","CS","G121","English","1"
"882","IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS","IEEE","Teletraffic Analysis of Communications Systems","2","null","1991","9","2","1","0","0733-8716","CS","G121","English","1"
"883","IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS","IEEE","Teletraffic Analysis of ATM Systems","4","null","1991","9","3","1","0","0733-8716","CS","G121","English","1"
"884","IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS","IEEE","Human Interfaces in Telecommunications","5","null","1991","9","4","1","0","0733-8716","CS","G121","English","1"
"885","IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS","IEEE","Integrated Circuits for Lightwave Communications","6","null","1991","9","5","1","0","0733-8716","CS","G121","English","1"
"886","IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS","IEEE","Background/Based Transmission Technology/Passband Techniques","8","null","1991","9","6","1","0","0733-8716","CS","G121","English","1"
"887","IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS","IEEE","Congestion Control in High-Speed packet switched Networks","9","null","1991","9","7","1","0","0733-8716","CS","G121","English","1"
"888","IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS","IEEE","Large-Scale ATM Switching Systems for B-ISDN","10","null","1991","9","8","1","0","0733-8716","CS","G121","English","1"
"889","IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS","IEEE","Architectures and Protocols for Integrated Broadband Switching","12","null","1991","9","9","1","0","0733-8716","CS","G121","English","1"
"890","IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS","IEEE","Signal Processing and Coding for Recording Channels","1","null","1992","10","1","1","0","0733-8716","CS","G121","English","1"
"891","IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS","IEEE","Advances in Satellite Communications Networking and Applications","2","null","1992","10","2","1","0","0733-8716","CS","G121","English","1"
