"Title","Theme","Category","Publisher","PublicationYear","ISBN","CoverType","CopiesNo","PhotocopiesNo","Topic1","Topic2","Topic3","Author1","Author2","Author3","Author4"
"New Course in Practical English (Lesson 1-12)","This unique 12-lesson course will bring you a quickly master English.","book","R. & W. Heap Company Limited","1965","","hardbound","1","0","","","","Barr  Caroline","Dudley A. Geofrey","Burfield A. Leome","Suchman A. Lucy"
"New Directions in Educational Technology","This book contains the proceedings of the NATO Advanced Research Worksop on New Directions in Advanced Educational Technology, held in Milton Keynes, UK, 10-13 November, 1988.","book","Springer-Verlag Berlin","1992","3540558837","hardbound","1","0","","","","O'Shea  Tim","","",""
"New Technology, Disability & Special Educational Needs","This book provides the use of new technology devices to meet the individual needs of people with disabilities and learning difficulties.","book","Open University Press and the Further Education Unit","1989","0951561308","paperback","1","0","Disability","","","","","",""
"Non-Speech Communication Products 1991","This guide provides the practical information needed to effectively use the PCS in non-speech communications programs and aids.","book","","1991","","paperback","1","0","","","","","","",""
"Noodle Words: An introduction to Chinese and Japanese Characters","This book is an introduction to Chinese and Japanese characters.","book","Charles E. Tuttle Company","1985","0804809488","paperback","1","0","","","","Wong W. T.","","",""
"Object-Oriented Programming in C++","This book learns you how to create and use objects while developing viable software applications.","book","Sams Publishing","1991","0672228009","paperback","1","0","","","","","","",""
"Object Dynamics in Computer Animation","This project report deals with the idea of physically-based animation as applied for the visualization of the behaviour of objects undergoing motion in a gravitational field.","report","","1993","","διαφάνεια","1","0","","","","","","",""
"Open System Architecture for CIM","This report includes defining requirements and building blocks, and specifying a method for migrating to CIM-OSA","report","Springer-Verlag Berlin","1989","3540520589","paperback","1","0","","","","","","",""
"Operation 1992, Advanced Communications-technologies in Europe, Consolidation of Results","This report concerns the investigation of requirements and options in the field of advanced communications-technologies in Europe.","report","Commission of the European Communities","1990","","paperback","1","0","","","","","","",""
"Operation 1992, Advanced Communications-technologies in Europe, Rationale for European Cooperation i","This report concerns the results of an investigation of requirements and options in the field of advanced communications-technologies in Europe.","report","Commission of the European Communities","1989","","paperback","1","0","","","","","","",""
"Operation 1992, Advanced Communications-technologies in Europe, Specification of Priority RD&T Tasks","This report concerns the results of an investigation of requirements and options in the field of advanced communications-technologies in Europe.","report","Commission of the European Communities","1989","","paperback","1","0","","","","","","",""
"Operation 1992, Advanced Communications-technologies in Europe, Telecom 2000","Report of the Requirements Board","report","Commission of the European Communities","1989","","paperback","1","0","","","","","","",""
"Operation 1992, Advanced Informatics in Medicine, Consolidation of Results","This report discusses topics which are relevant to the use of information technology and telecommunications in medicine and health care.","report","Commission of the European Communities","1990","","paperback","1","0","","","","","","",""
"Operation 1992, Advanced Road Transport Telematics in Europe","The purpose of this report is to stimulate continuing discussion and to invite comments so as to assist the Community in its planning of future activities in research, development and applications of Road Transport Informatics technologies.","report","Commission of the European Communities","1990","","paperback","1","0","","","","","","",""
"Operation 1992, Application of ITT&B in Rural Areas, Rationale for Action and European Cooperation i","This report on the results of an investigation of  requirements and options in the field of Application of ITT&B in rural areas.","report","Commission of the European Communities","1989","","paperback","1","0","","","","","","",""
"Operation 1992, Application of ITT&B in Rural Areas, Specification of Priority RD&T Tasks","This report on the results of an investigation of  requirements and options in the field of  Application of ITT&B in rural areas.","report","Commission of the European Communities","1989","","paperback","1","0","","","","","","",""
"Operation 1992, Application of ITT&B in Rural Areas, The Requirements for ITT Services and Apllicati","This draft report includes contributions from the National representatives on the requirements Board about the situation of rural areas in the EC Member States.","report","Commission of the European Communities","1989","","paperback","1","0","","","","","","",""
"Operation 1992, RD&T in Integrated Service Engineering, Rationale for Action and European Cooperatio","This report on the results of an investigation of  requirements and options in the field of RD&T in Integrated Service Engineering.","report","Commission of the European Communities","1989","","paperback","1","0","","","","","","",""
"Operation 1992, RD&T in Integrated Service Engineering, Specification of Priority RD&T Tasks","This report on the results of an investigation of  requirements and options in the field of RD&T in Integrated Service Engineering.","report","Commission of the European Communities","1989","","paperback","1","0","","","","","","",""
"Operation 1992, Results of an Investigation of Requirements and Options in the Field of Service Infr","This report on the results of an investigation into the requirements and options for work in the field of Service Infrastructure Application Pilots.","report","Commission of the European Communities","1989","","paperback","1","0","","","","","","",""
"Operation 1992, Technology-based Learning, Consolidation of Results","This document has been prepared for circulation among those interested in the development and application of advanced telematic services in the field of Training and Education within Europe.","report","Commission of the European Communities","1990","","paperback","2","0","","","","","","",""
"Overbrook International A Progressive Study Program at the Overbrook School for the Blind","Our program concentrates on promoting progress and cooperation in the education of the blind.","guide","","","","paperback","2","0","Disability","","","Russoniello  Grace","Ulrych  Richard","",""
"Patterns of Technological Innovation","This book is addressed in three fields: economics, engineering and public as well as private policy.","book","Addison-Wesley Publishing Company","1981","0201066300","spiral","0","1","","","","","","",""
"PC Year Book 1989","Machines, Storage, Boards, Peripherals, Micro to mainframe links, Local Area Networks, Desktop publishing, Consultants, Recruitment, Training, Maintentance, Software.","book","VNU Business Publications","1988","0862710898","paperback","1","0","","","","","","",""
"Principles of Database and Knowledge-Based Systems Volume I","In this book the author tries to integrate ""clasical"" database concepts with the technology that is just now being developed to support applications where knowledge is required along with ""data"".","book","Computer Science Press","1988","0716781581","hardbound","1","0","","","","","","",""
"Private / Non-State Education: Forms and Status in the Member States of the European Community","This document is the result of cooperation within the EURYDICE network on national education structures , systems and development, between the Member States and the European Unit.","report","Commission of the European Communities","1992","2871161925","paperback","1","0","","","","","","",""
"Proceedings of 10th Concertation Meeting","Proceedings of 10th Meeting on the RACE projects, Brussels, 10 June, 1989","proceedings","Commission of the European Communities/DGXIII-F","1989","","paperback","1","0","","","","","","",""
"Proceedings of 11th Concertation Meeting","Proceedings of 11th Meeting on the RACE projects, Brussels, 19/20 July, 1989","proceedings","Commission of the European Communities/DGXIII-F","1989","","paperback","1","0","","","","","","",""
"Proceedings of 12th Concertation Meeting","Proceedings of 12th Meeting on the RACE projects, Brussels, 6/7 September, 1989","proceedings","Commission of the European Communities/DGXIII-F","1989","","paperback","1","0","","","","","","",""
"Proceedings of 13th Concertation Meeting","Proceedings of 13th Meeting on the RACE projects, Brussels, 10 November, 1989","proceedings","Commission of the European Communities/DGXIII-F","1989","","paperback","1","0","","","","","","",""
"Proceedings of 15th Concertation Meeting","Proceedings of 15th Meeting on the RACE projects, Brussels, 24/25 January 1990","proceedings","Commission of the European Communities/DGXIII-F","1990","","paperback","1","0","","","","","","",""
"Proceedings of 17th Concertation Meeting","Proceedings of 17th Meeting on the RACE projects, Brussels, 10 June 1990","proceedings","Commission of the European Communities/DGXIII-F","1990","","paperback","1","0","","","","","","",""
"Proceedings of 1st Concertation Meeting","Proceedings of 1st Meeting on the RACE projects, Brussels, 4/5 February, 1988","proceedings","Commission of the European Communities/DGXIII-F","1988","","paperback","1","0","","","","","","",""
"Proceedings of 25th RACE Concertation Meeting","Proceedings of 25th Meeting on the RACE projects, Brussels, 13 September 1991","proceedings","Commission of the European Communities/DGXIII-F","1991","","paperback","1","0","","","","","","",""
"Proceedings of 2nd Concertation Meeting","Proceedings of 2nd Meeting on the RACE projects, Brussels, 24/25 March, 1988","proceedings","Commission of the European Communities/DGXIII-F","1988","","paperback","1","0","","","","","","",""
"Proceedings of 3rd Concertation Meeting","Proceedings of 3rd Meeting on the RACE projects, Brussels, 5/6 May, 1988","proceedings","Commission of the European Communities/DGXIII-F","1988","","paperback","1","0","","","","","","",""
"Proceedings of 4th Concertation Meeting","Proceedings of 4th Meeting on the RACE projects, Brussels, 20/21 June, 1988","proceedings","Commission of the European Communities/DGXIII-F","1988","","paperback","1","0","","","","","","",""
"Proceedings of 5th Concertation Meeting","Proceedings of 5th Meeting on the RACE projects, Brussels, 20/21 September, 1988","proceedings","Commission of the European Communities/DGXIII-F","1988","","paperback","1","0","","","","","","",""
"Proceedings of 6th Concertation Meeting","Proceedings of 6th Meeting on the RACE projects, Brussels, 27/28 October, 1988","proceedings","Commission of the European Communities/DGXIII-F","1988","","paperback","1","0","","","","","","",""
"Proceedings of 7th Concertation Meeting","Proceedings of 7th Meeting on the RACE projects, Brussels, 8/9 December, 1988","proceedings","Commission of the European Communities/DGXIII-F","1989","","paperback","1","0","","","","","","",""
"Proceedings of 8th Concertation Meeting","Proceedings of 8th Meeting on the RACE projects, Brussels, 15/16 February, 1989","proceedings","Commission of the European Communities/DGXIII-F","1989","","paperback","1","0","","","","","","",""
"Proceedings of 9th Concertation Meeting","Proceedings of 9th Meeting on the RACE projects, Brussels, 27/28 April, 1989","proceedings","Commission of the European Communities/DGXIII-F","1989","","paperback","1","0","","","","","","",""
"Proceedings of the Symposium on New Frontiers for the European COST in Telecommunications","1. COST, the European Programme, the normative and standardization Bodies 2. Telecommunications Research for the 2000 and beyond.","proceedings","Commission of the European Communities","1992","","paperback","1","0","","","","Fedi  Francesco","","",""
"Profiling in Primary Schools A Handbook for Teachers","This book provides guidelines that will enable teachers to carry the successful profiling movement into primary schools.","book","Cassell Publishers Ltd","1991","0304324507","spiral","1","0","","","","Ritchie  Ron","","",""
"...Wieder Selbstandig! Wohnen-Arbeit-Freizeit","Περιέχει γενικές πληροφορίες για άτομα με ειδικές ανάγκες.","report","AUVA","1991","","paperback","1","0","Rehabilitation Technology","","","Muller  Elisabeth","","",""
"1989 ESPRIT Workprogramme","This document is the 1989 Workprogramme for the areas: I. Information Processing Systems II. Office and Business Systems III. Computer Integrated Manufacturing","report","Commission of the European Communities","1989","","paperback","3","0","","","","","","",""
"27th RACE Concertation Meeting Proceedings","Proceedings of 27th Meeting on the RACE Projects, 18/19 February 1992","proceedings","Commission of the European Communities","1992","","paperback","1","0","RACE","","","","","",""
"28th RACE Concertation Meeting Proceedings","Proceedings of 28th Meeting on the RACE Projects, Brussels, 6/7 April 1992","proceedings","Commission of the European Communities","1992","","paperback","1","0","","","","","","",""
"29th RACE Concertation Meeting Proceedings","Proceedings of 29th Meeting on the RACE projects, Brussels, 19/20 May 1992","proceedings","Commission of the European Communities","1992","","paperback","1","0","","","","","","",""
"30th RACE Concertation Meeting Proceedings","Proceedings of 30th Meeting on the RACE projects, Brussels, 2/3 July 1992","proceedings","Commission of the European Communities","1992","","paperback","1","0","","","","","","",""
"31st RACE Concertation Meeting Proceedings","Proceedings of 31st Meeting on the RACE projects, Brussels, 22/23 September 1992","proceedings","Commission of the European Communities","1992","","paperback","1","0","","","","","","",""
"32nd RACE Concertation Meeting Proceedings","Proceedings of 32nd Meeting on the RACE projects, Brussels, 5/6 November 1992","proceedings","Commission of the European Communities","1992","","paperback","1","0","","","","","","",""
"33rd RACE Concertation Meeting Proceedings","Proceedings of 33rd Meeting on the RACE projects, Brussels, 26/27 January 1993","proceedings","Commission of the European Communities","1993","","paperback","1","0","","","","","","",""
"34th RACE Concertation Meeting Proceedings","Proceedings of 34th Meeting on the RACE projects, Portugal, 11/12 March 1993","proceedings","Commission of the European Communities","1993","","paperback","1","0","","","","","","",""
"35th RACE Concertation Meeting Proceedings","Proceedings of 35th Meeting on the RACE projects, Brussels, 3/4 May 1993","proceedings","Commission of the European Communities","1993","","paperback","1","0","","","","","","",""
"36th RACE Concertation Meeting Proceedings","Proceedings of 36th Meeting on the RACE projects, Brussels 6/7 July 1993","proceedings","Commission of the European Communities","1993","","paperback","1","0","","","","","","",""
"37th RACE Concertation Meeting Proceedings","Proceedings of 37th Meeting on the RACE projects, Brussels 29/30 September 1993","proceedings","Commission of the European Communities","1993","","paperback","1","0","","","","","","",""
"39th RACE Concertation Meeting Proceedings","Proceedings of 39th Meeting on the RACE projects, Brussels 18/19 January 1994","proceedings","Commission of the European Communities","1994","","paperback","1","0","","","","","","",""
"3rd Party Emulation Support User's Guide","This manual describes how to install and use the Eicon Technology 3rd Party Emulation Support program.","manual","Eicon Technology Corporation","1988","","spiral","0","1","","","","","","",""
"40th RACE Concertation Meeting Proceedings","Proceedings of 40th Meeting on the RACE projects, Brussels 2/3 March 1994","proceedings","Commission of the European Communities","1994","","paperback","1","0","","","","","","",""
"41th RACE Concertation Meeting Proceedings","Proceedings of 41th Meeting on the RACE projects, Brussels 19/20 May 1994","proceedings","Commission of the European Communities","1994","","without cover","1","0","","","","","","",""
"42th RACE Concertation Meeting Proceedings","Proceedings of 42th Meeting on the RACE projects, Brussels 5-6 July 1994","proceedings","Commission of the European Communities","1994","","paperback","2","0","","","","","","",""
"43th RACE Concertation Meeting Proceedings","Proceedings of 43th Meeting on the RACE projects, Brussels 21/22 September 1994","proceedings","Commission of the European Communities","1994","","paperback","1","0","","","","","","",""
"44th RACE Concertation Meeting Proceedings","Proceedings of 44th Meeting on the RACE projects, Brussels 8/9 November 1994","proceedings","Commission of the European Communities","1994","","paperback","1","0","","","","","","",""
"45th RACE Concertation Meeting Proceedings","Proceedings of 45th Meeting on the RACE projects, Brussels 25/26 January 1995","proceedings","Commission of the European Communities","1995","","paperback","1","0","","","","","","",""
"46th RACE Concertation Meeting Proceedings","Proceedings of 46th Meeting on the RACE projects, Brussels 15/16 March 1995","proceedings","Commission of the European Communities","1995","","paperback","1","0","","","","","","",""
"48th RACE Concertation Meeting Proceedings","Proceedings of 48th Meeting on the RACE Projects, 5/6 July 1995","proceedings","European Commission","1995","","paperback","1","0","","","","","","",""
"A Common Technology for Switch Controlled Software A Guide for Software Developers","The purpose of this book is to explain some of the issues involved in designing software for switch users in the hope that more developers might include such options in their products.","book","ACE Centre","1990","1853791121","spiral","0","2","","","","Colven  David","Detheridge  Tina","",""
"A Guide to Usability","This guide is intended primarily for technical managers, system designers, and anyone who is responsible for the specification, development and implementation of IT.","book","Open University/DTI (Department of Trade and Industry)","1990","0749243449","paperback","1","0","","","","Davies  Gordon","Preece  Jenny","Keller  Laurie","Rogers  Yvonne"
"A Model Based Framework for User Interface Design","This thesis presents a novel technical framework as a basis for the construction of UI design tools which support the design of interfaces for all potential users.","report","University of Kent","1994","","hardbound","1","0","","","","","","",""
"A New Guide for Better Technical Presentations Applying Proven Techniques with Modern Tools","This book covers the essential intgredients for all effective presentations.","book","IEEE Press","1992","0879422831","paperback","1","0","","","","","","",""
"A Pilot Study on a Data Acquisition and Pattern Recognition System for Use in the Analysis of 24-Hou","This is a Third-Year Project report comprising a theoretical investigation of clinical and ambulatory electrocardiography and an account of the experimental work carried out on an ECG data acquisition system.","report","University of Kent","1981","","hardbound","1","0","","","","","","",""
"A Preliminary Report into the Viability of the Remote Activator (REACT) System Technique Feasibility","This report describes a REACT system which allows visually disabled people to use public machines which are at the moment inaccessible to them.","report","RNIB Technical R&D Department","1989","","spiral","1","0","","","","","","",""
"A Study of Methodologies of Information Technology in the Provision of Communication Aids for the Sp","The theme of this thesis is the application of Information Technology principles and techniques in the field of Rehabilitation Engineering.","book","","1986","","paperback","1","0","","","","","","",""
"A Supplement to Blissymbols for Use","This publication is a listing of the Blissymbols in Blissymbols for Use arranged in English alphabetical order with an appendix listing symbols.","booklet","Blissymbolics Communication Institute","1984","","paperback","0","2","","","","","","",""
"A Survey of Models and Formal Description Methods in HCI with Example Applications","This report presents a survey of the relevant modelling techniques and formal methods with example applications.","report","ESPRIT","1986","","paperback","1","1","","","","Tauber J. Michael","Ziegler E. J.","",""
"AAAI'93 Proceedings of the Eleventh National Conference on Artificial Intelligence July 11-6 1993, W","This volume contains accepted papers that describe significant contributions to all aspects of AI, including the principles underlying cognition, perception, and action in humans and machines.","proceedings","AAAI Press/MIT Press","1993","0262510715","paperback","1","0","","","","","","",""
"Access to Graphical User Interfaces by Blind People","The objective of this book is to review and analyse in perspective the various issues related to the accessibility of GUIs by blind people and to identify and suggest possible solutions.","book","RNIB (Royal National Institute for the Blind)","1991","0901797642","paperback","4","0","","","","Savidis A. Antonios","Homatas  Gregory","Spiridou  Natassa","Sfyrakis  Michael"
"Access to the USA - Recent Disability Legislation","This book provides information about legislation regarding PSN in USA.","report","Swedish Institute for the Handicapped","1991","","paperback","1","0","Disability","","","","","",""
"Access to Visual Computer Information by Blind Persons","This report includes papers of a Workshop held at the Technical University of Berlin from September 12 to September 14, 1989.","report","Technical University of Berlin Institute of Telecommunications","1990","","spiral","1","0","","","","","","",""
"ACM SIGCHI Curricula for Human-Computer Interaction","This report presents the work of the Committee assembled to produce recommendations for education in Human Computer Interaction.","book","ACM Press","1992","0897914740","spiral","0","2","","","","ACM SIGHCI  ","","",""
"Activity Report 1989-1990 COST Secretariat","This report is therefore intended to illustrate the entire spectrum of research and covers all existing projects within a range of areas.","report","Commission of the European Communities","1991","","paperback","1","0","","","","Klose  A.","","",""
"Advanced Communications Experiments","This report on the results of an investigation into the requirements and options for work in the field of Advanced Communications Experiments.","report","Commission of the European Communities","1989","","paperback","1","0","","","","","","",""
"Advanced Computational Support for Biotechnology Research","This report forms one important element of a series of assessments of requirements for developments in information technology to support advanced biological computing and biotechnology.","report","Commission of the European Communities","1985","","paperback","1","0","","","","","","",""
"Advances in Human-Computer Interaction Volume 1","This book is loosely organised so that it flows from theoretical treatment of issues relating to interface specification and evaluation to computer science approaches for interface specification and prototyping.","book","Ablex Publishing Corporation","1985","0893912441","hardbound","1","0","","","","","","",""
"Advances in Human-Computer Interaction Volume 2","The theme of this book is that the future of the development of interactive systems with quality human-computer interfaces is in the cooperating hands of behavioural scientists and computer scientists.","book","Ablex Publishing Corporation","1988","0893914282","hardbound","1","0","","","","Hix  Deborah","","",""
"Advances in Rehabilitation Technology","Sensory and communicative aids, Protheses and Orthoses, Mobility and Transport, Devices for independent living, Robotics, Informatics, New Materials, Speech Technology, Modelling and Simulation, Assessment, Quality control, Standardization","proceedings","IFMBE","1988","","spiral","0","1","","","","","","",""
"Aids for the Deaf-Blind","This report is intended to be a first attempt to make a catalogue for the deaf-blind.","report","ICTA Information Centre","1985","","paperback","1","0","","","","","","",""
"AIM Database Indexed per Country and Company","It contains a list of the AIM Database.","report","Commission of the European Communities","1988","","paperback","1","0","","","","","","",""
"AIM Draft Workplan","This report describes the workplan proposed for the Pilot Phase.","report","Commission of the European Communities","1988","","without cover","1","0","","","","","","",""
"AIM Profiles","This report aims to help people make contacts they need in order to prepare projects and consortia in reply to the AIM Pilot Phase.","report","Commission of the European Communities","","","paperback","1","0","","","","","","",""
"AIM Profiles (Second Volume)","This report aims to help people make contacts they need in order to prepare projects and consortia in reply to the AIM Pilot Phase.","report","Commission of the European Communities","","","paperback","1","0","","","","","","",""
"AIM Workplan","Information for the preparation of proposals for AIM projects.","report","Commission of the European Communities","1988","","paperback","1","0","","","","","","",""
"AIM Workshops Proceedings (Volume I)","This is a document on the discussion part of the workshops and a context and scene setting introduction to the set of abstracts and papers submitted.","proceedings","Commission of the European Communities","1987","","paperback","1","0","","","","","","",""
"AIM Workshops Proceedings (Volume II)","Proceedings of the AIM workshops held in Brussels, November 1987 concerning the Rehabilitation and Disability.","proceedings","Commission of the European Communities","1987","","paperback","1","0","","","","","","",""
"An Econometric Analysis of Demand Relationships in Greece","Theoretical Background of Demand Analysis.","book","University Microfilms","1968","","spiral","0","1","","","","","","",""
"An Evaluation of the Tactile Danger Warning","This report documents a series of tests that were carried out in February 1988.","report","RNIB Technical R&D Department","1988","","spiral","1","0","","","","Gill M. John","","",""
"Annual Report '92","This Annual Report is complementary to the Jaarverslag SMC (in Dutch), which concentrates on SMC's National activities in Mathematics.","report","SMC (Stichting Mathematisch Centrum)","1993","","paperback","1","0","","","","","","",""
"Annual Report '93","This Annual Report is complementary to the Jaarverslag SMC (in Dutch), which concentrates on SMC's National activities in Mathematics.","report","SMC (Stichting Mathematisch Centrum)","1994","","paperback","1","0","","","","","","",""
"Aphasia Therapy","This book provides practical resource material for every aphasia therapist in a form which is conveniently accessible, imginative and clearly laid out.","book","Winslow Press","","0863880703","spiral","0","1","Disability","","","Kerr  Jean","Williams  Roberta","",""
"Application of Technology in Low Vision","This report presents the proceedings of a Workshop held at the Institute of Ophthalmology in London in July 1988.","report","RNIB (Royal National Institute for the Blind)","1989","","spiral","1","0","","","","","","",""
"Applying Cognitive Psychology to User Interface Design","The project was concerned with applying mainstream cognitive psycology to the problems of user-interface design in office systems, with particular emphasis on developing an automated tool for interface evaluation.","book","John Wiley & Sons","1987","0471911844","spiral","0","1","","","","Christie  Bruce","Soloway  Eliot","",""
"Artificial Intelligence & Turbo C","This book presents the fundamental principles and theories underlying fifty generation software such as natural language interfaces and expert systems.","book","Multiscience Press","1989","1556231296","paperback","1","0","","","","","","",""
"Assessment and Evaluation of Information Technologies in Medicine","This book provides first guidelines which may help users in assessing the effects of new and existing information technologies for health care.","book","IOS Press","1995","9051992009","hardbound","1","0","","","","Talmon L. J.","","",""
"Assistive Technology and the Individualized Education Program","This book is intended to provide information about how assistive technology can be made a part of special education and related services.","report","RESNA Press","1992","","paperback","1","0","","","","","","",""
"Assistive Technology Sourcebook","The Sourcebook contains a wealth of information for everyone involved with providing or using assistive technology.","book","RESNA Press","1990","0932101275","paperback","1","0","","","","Hall  Marian","","",""
"Augmentative and Alternative Communication 1989","Presentations at the RESNA 12th Annual Conference & USSAAC First National Conference New Orleans, LA, June 26-30 1989","proceedings","RESNA Press","1989","","paperback","1","0","","","","","","",""
"Autisme et Informatique Autism and Computer Applications","3o Congres international Autisme France, held in Nice Acropolis 27-29, 1995. Challenges and Contributions of Information Technologies in Education and Research.","proceedings","Autisme France","1995","","paperback","1","0","","","","","","",""
"Background Information for the ""Call for Tender"" for the AIM - Exploratory Action","This report provides the necessary details and background information for the preparation of proposals.","report","Commission of the European Communities","1988","","paperback","1","0","","","","","","",""
"Background Information for the Exploratory Action AIM, How to Make Proposals","Information for proposers","report","Commission of the European Communities","1988","","paperback","1","0","","","","","","",""
"Background Material to the 1991 Esprit Workprogramme","This Background Material underpins the 1991 Esprit Workprogramm.","report","Commission of the European Communities","1991","","paperback","2","0","","","","","","",""
"Background to the Workplan for the IVth Framework Programme Telematics for the Integration of Disabl","Based on the work of the technical panels (February - April 1994)","report","European Commission","1995","","paperback","1","0","","","","","","",""
"BICEPS (Bio-Informatics Collaborative European Programmes & Strategy)","Communication and terminal equipment, Biomedical Instrumentation, Presentation on Administrative & Management Information Flows in Hospitals.","proceedings","","","","without cover","1","0","","","","Clough R. Jeremy","Roger H. F.","Sachot  Edouard","Condon  Jennifer"
"BICEPS, Bio-Informatics in Europe: Industry Workshop","This is the report of the second Workshop together with a list of participants and a summary of the questions addressed by the Workshop.","report","Commission of the European Communities","1986","","paperback","1","0","","","","","","",""
"BICEPS, Bio-Informatics in Europe: Policy Workshop","This is the report of the first Workshop together with a list of participants and a summary of the questions addressed by the Workshop.","report","Commission of the European Communities","1986","","paperback","1","0","","","","","","",""
"BICEPS, Instrumentation for Biotechnology","This report is a survey of the current offerings in biotechnological instrumentation and an assessment of user satisfaction or dissatisfaction with that equipment.","report","Commission of the European Communities","1986","","without cover","1","0","","","","","","",""
"BICEPS, Medical Communications","This report is concerned with a strategy for developing medical communications.","report","Commission of the European Communities","1986","","without cover","1","0","","","","","","",""
"BICEPS, Report Presentation and Methodology","It is a strategic study on Information Technologies applied to biomedical instrumentation.","report","Commission of the European Communities","1986","","paperback","1","0","","","","","","",""
"BICEPS, Standardisation and Harmonisation of Medical Data Classification Systems in Europe","This is an enquiry on statistics concerning ambulatory care, occupational medicine, registers, mortality statistics, procedures and other medical data such as drugs or biological results.","report","Commission of the European Communities","1986","","paperback","1","0","","","","","","",""
"Biomedical Signal Processing Volume I Time and Frequency Domains Analysis","This book is intended to provide material of interest to engineers and scientists who wish to apply modern signal processing techniques to the analysis of biomedical signals.","book","CRC Press","1986","0849359333","hardbound","1","0","","","","","","",""
