Author1,Author2,Author3,Author4,Category,CopiesNo,CoverType,ISBN,PhotocopiesNo,PublicationYear,Publisher,Theme,Title,Topic1,Topic2,Topic3
,,,,report,1,paperback,,0,1989,commission of the european communities,this report concerns the results of an investigation of requirements and options in the field of advanced communications-technologies in europe.,"operation 1992, advanced communications-technologies in europe, rationale for european cooperation i",,,
,,,,report,1,paperback,,0,1989,commission of the european communities,this report concerns the results of an investigation of requirements and options in the field of advanced communications-technologies in europe.,"operation 1992, advanced communications-technologies in europe, specification of priority rd&t tasks",,,
,,,,report,1,paperback,,0,1989,commission of the european communities,report of the requirements board,"operation 1992, advanced communications-technologies in europe, telecom 2000",,,
,,,,report,1,paperback,,0,1990,commission of the european communities,this report discusses topics which are relevant to the use of information technology and telecommunications in medicine and health care.,"operation 1992, advanced informatics in medicine, consolidation of results",,,
,,,,report,1,paperback,,0,1990,commission of the european communities,"the purpose of this report is to stimulate continuing discussion and to invite comments so as to assist the community in its planning of future activities in research, development and applications of road transport informatics technologies.","operation 1992, advanced road transport telematics in europe",,,
,,,,report,1,paperback,,0,1989,commission of the european communities,this report on the results of an investigation of  requirements and options in the field of application of itt&b in rural areas.,"operation 1992, application of itt&b in rural areas, rationale for action and european cooperation i",,,
,,,,report,1,paperback,,0,1989,commission of the european communities,this report on the results of an investigation of  requirements and options in the field of  application of itt&b in rural areas.,"operation 1992, application of itt&b in rural areas, specification of priority rd&t tasks",,,
,,,,report,1,paperback,,0,1989,commission of the european communities,this draft report includes contributions from the national representatives on the requirements board about the situation of rural areas in the ec member states.,"operation 1992, application of itt&b in rural areas, the requirements for itt services and apllicati",,,
,,,,report,1,paperback,,0,1989,commission of the european communities,this report on the results of an investigation of  requirements and options in the field of rd&t in integrated service engineering.,"operation 1992, rd&t in integrated service engineering, rationale for action and european cooperatio",,,
,,,,report,1,paperback,,0,1989,commission of the european communities,this report on the results of an investigation of  requirements and options in the field of rd&t in integrated service engineering.,"operation 1992, rd&t in integrated service engineering, specification of priority rd&t tasks",,,
,,,,report,1,paperback,,0,1989,commission of the european communities,this report on the results of an investigation into the requirements and options for work in the field of service infrastructure application pilots.,"operation 1992, results of an investigation of requirements and options in the field of service infr",,,
,,,,report,2,paperback,,0,1990,commission of the european communities,this document has been prepared for circulation among those interested in the development and application of advanced telematic services in the field of training and education within europe.,"operation 1992, technology-based learning, consolidation of results",,,
russoniello  grace,ulrych  richard,,,guide,2,paperback,,0,,,our program concentrates on promoting progress and cooperation in the education of the blind.,overbrook international a progressive study program at the overbrook school for the blind,disability,,
,,,,book,0,spiral,0201066300,1,1981,addison-wesley publishing company,"this book is addressed in three fields: economics, engineering and public as well as private policy.",patterns of technological innovation,,,
,,,,book,1,paperback,0862710898,0,1988,vnu business publications,"machines, storage, boards, peripherals, micro to mainframe links, local area networks, desktop publishing, consultants, recruitment, training, maintentance, software.",pc year book 1989,,,
,,,,book,1,hardbound,0716781581,0,1988,computer science press,"in this book the author tries to integrate ""clasical"" database concepts with the technology that is just now being developed to support applications where knowledge is required along with ""data"".",principles of database and knowledge-based systems volume i,,,
,,,,report,1,paperback,2871161925,0,1992,commission of the european communities,"this document is the result of cooperation within the eurydice network on national education structures , systems and development, between the member states and the european unit.",private / non-state education: forms and status in the member states of the european community,,,
,,,,proceedings,1,paperback,,0,1989,commission of the european communities/dgxiii-f,"proceedings of 10th meeting on the race projects, brussels, 10 june, 1989",proceedings of 10th concertation meeting,,,
,,,,proceedings,1,paperback,,0,1989,commission of the european communities/dgxiii-f,"proceedings of 11th meeting on the race projects, brussels, 19/20 july, 1989",proceedings of 11th concertation meeting,,,
,,,,proceedings,1,paperback,,0,1989,commission of the european communities/dgxiii-f,"proceedings of 12th meeting on the race projects, brussels, 6/7 september, 1989",proceedings of 12th concertation meeting,,,
,,,,proceedings,1,paperback,,0,1989,commission of the european communities/dgxiii-f,"proceedings of 13th meeting on the race projects, brussels, 10 november, 1989",proceedings of 13th concertation meeting,,,
,,,,proceedings,1,paperback,,0,1990,commission of the european communities/dgxiii-f,"proceedings of 15th meeting on the race projects, brussels, 24/25 january 1990",proceedings of 15th concertation meeting,,,
,,,,proceedings,1,paperback,,0,1990,commission of the european communities/dgxiii-f,"proceedings of 17th meeting on the race projects, brussels, 10 june 1990",proceedings of 17th concertation meeting,,,
,,,,proceedings,1,paperback,,0,1988,commission of the european communities/dgxiii-f,"proceedings of 1st meeting on the race projects, brussels, 4/5 february, 1988",proceedings of 1st concertation meeting,,,
,,,,proceedings,1,paperback,,0,1991,commission of the european communities/dgxiii-f,"proceedings of 25th meeting on the race projects, brussels, 13 september 1991",proceedings of 25th race concertation meeting,,,
,,,,proceedings,1,paperback,,0,1988,commission of the european communities/dgxiii-f,"proceedings of 2nd meeting on the race projects, brussels, 24/25 march, 1988",proceedings of 2nd concertation meeting,,,
,,,,proceedings,1,paperback,,0,1988,commission of the european communities/dgxiii-f,"proceedings of 3rd meeting on the race projects, brussels, 5/6 may, 1988",proceedings of 3rd concertation meeting,,,
,,,,proceedings,1,paperback,,0,1988,commission of the european communities/dgxiii-f,"proceedings of 4th meeting on the race projects, brussels, 20/21 june, 1988",proceedings of 4th concertation meeting,,,
,,,,proceedings,1,paperback,,0,1988,commission of the european communities/dgxiii-f,"proceedings of 5th meeting on the race projects, brussels, 20/21 september, 1988",proceedings of 5th concertation meeting,,,
,,,,proceedings,1,paperback,,0,1988,commission of the european communities/dgxiii-f,"proceedings of 6th meeting on the race projects, brussels, 27/28 october, 1988",proceedings of 6th concertation meeting,,,
,,,,proceedings,1,paperback,,0,1989,commission of the european communities/dgxiii-f,"proceedings of 7th meeting on the race projects, brussels, 8/9 december, 1988",proceedings of 7th concertation meeting,,,
,,,,proceedings,1,paperback,,0,1989,commission of the european communities/dgxiii-f,"proceedings of 8th meeting on the race projects, brussels, 15/16 february, 1989",proceedings of 8th concertation meeting,,,
,,,,proceedings,1,paperback,,0,1989,commission of the european communities/dgxiii-f,"proceedings of 9th meeting on the race projects, brussels, 27/28 april, 1989",proceedings of 9th concertation meeting,,,
fedi  francesco,,,,proceedings,1,paperback,,0,1992,commission of the european communities,"1. cost, the european programme, the normative and standardization bodies 2. telecommunications research for the 2000 and beyond.",proceedings of the symposium on new frontiers for the european cost in telecommunications,,,
ritchie  ron,,,,book,1,spiral,0304324507,0,1991,cassell publishers ltd,this book provides guidelines that will enable teachers to carry the successful profiling movement into primary schools.,profiling in primary schools a handbook for teachers,,,
muller  elisabeth,,,,report,1,paperback,,0,1991,auva,περιέχει γενικές πληροφορίες για άτομα με ειδικές ανάγκες.,...wieder selbstandig! wohnen-arbeit-freizeit,rehabilitation technology,,
,,,,report,3,paperback,,0,1989,commission of the european communities,this document is the 1989 workprogramme for the areas: i. information processing systems ii. office and business systems iii. computer integrated manufacturing,1989 esprit workprogramme,,,
,,,,proceedings,1,paperback,,0,1992,commission of the european communities,"proceedings of 27th meeting on the race projects, 18/19 february 1992",27th race concertation meeting proceedings,race,,
,,,,proceedings,1,paperback,,0,1992,commission of the european communities,"proceedings of 28th meeting on the race projects, brussels, 6/7 april 1992",28th race concertation meeting proceedings,,,
,,,,proceedings,1,paperback,,0,1992,commission of the european communities,"proceedings of 29th meeting on the race projects, brussels, 19/20 may 1992",29th race concertation meeting proceedings,,,
,,,,proceedings,1,paperback,,0,1992,commission of the european communities,"proceedings of 30th meeting on the race projects, brussels, 2/3 july 1992",30th race concertation meeting proceedings,,,
,,,,proceedings,1,paperback,,0,1992,commission of the european communities,"proceedings of 31st meeting on the race projects, brussels, 22/23 september 1992",31st race concertation meeting proceedings,,,
,,,,proceedings,1,paperback,,0,1992,commission of the european communities,"proceedings of 32nd meeting on the race projects, brussels, 5/6 november 1992",32nd race concertation meeting proceedings,,,
,,,,proceedings,1,paperback,,0,1993,commission of the european communities,"proceedings of 33rd meeting on the race projects, brussels, 26/27 january 1993",33rd race concertation meeting proceedings,,,
,,,,proceedings,1,paperback,,0,1993,commission of the european communities,"proceedings of 34th meeting on the race projects, portugal, 11/12 march 1993",34th race concertation meeting proceedings,,,
,,,,proceedings,1,paperback,,0,1993,commission of the european communities,"proceedings of 35th meeting on the race projects, brussels, 3/4 may 1993",35th race concertation meeting proceedings,,,
,,,,proceedings,1,paperback,,0,1993,commission of the european communities,"proceedings of 36th meeting on the race projects, brussels 6/7 july 1993",36th race concertation meeting proceedings,,,
,,,,proceedings,1,paperback,,0,1993,commission of the european communities,"proceedings of 37th meeting on the race projects, brussels 29/30 september 1993",37th race concertation meeting proceedings,,,
,,,,proceedings,1,paperback,,0,1994,commission of the european communities,"proceedings of 39th meeting on the race projects, brussels 18/19 january 1994",39th race concertation meeting proceedings,,,
,,,,manual,0,spiral,,1,1988,eicon technology corporation,this manual describes how to install and use the eicon technology 3rd party emulation support program.,3rd party emulation support user's guide,,,
,,,,proceedings,1,paperback,,0,1994,commission of the european communities,"proceedings of 40th meeting on the race projects, brussels 2/3 march 1994",40th race concertation meeting proceedings,,,
,,,,proceedings,1,without cover,,0,1994,commission of the european communities,"proceedings of 41th meeting on the race projects, brussels 19/20 may 1994",41th race concertation meeting proceedings,,,
,,,,proceedings,2,paperback,,0,1994,commission of the european communities,"proceedings of 42th meeting on the race projects, brussels 5-6 july 1994",42th race concertation meeting proceedings,,,
,,,,proceedings,1,paperback,,0,1994,commission of the european communities,"proceedings of 43th meeting on the race projects, brussels 21/22 september 1994",43th race concertation meeting proceedings,,,
,,,,proceedings,1,paperback,,0,1994,commission of the european communities,"proceedings of 44th meeting on the race projects, brussels 8/9 november 1994",44th race concertation meeting proceedings,,,
,,,,proceedings,1,paperback,,0,1995,commission of the european communities,"proceedings of 45th meeting on the race projects, brussels 25/26 january 1995",45th race concertation meeting proceedings,,,
,,,,proceedings,1,paperback,,0,1995,commission of the european communities,"proceedings of 46th meeting on the race projects, brussels 15/16 march 1995",46th race concertation meeting proceedings,,,
,,,,proceedings,1,paperback,,0,1995,european commission,"proceedings of 48th meeting on the race projects, 5/6 july 1995",48th race concertation meeting proceedings,,,
colven  david,detheridge  tina,,,book,0,spiral,1853791121,2,1990,ace centre,the purpose of this book is to explain some of the issues involved in designing software for switch users in the hope that more developers might include such options in their products.,a common technology for switch controlled software a guide for software developers,,,
davies  gordon,preece  jenny,keller  laurie,rogers  yvonne,book,1,paperback,0749243449,0,1990,open university/dti (department of trade and industry),"this guide is intended primarily for technical managers, system designers, and anyone who is responsible for the specification, development and implementation of it.",a guide to usability,,,
,,,,report,1,hardbound,,0,1994,university of kent,this thesis presents a novel technical framework as a basis for the construction of ui design tools which support the design of interfaces for all potential users.,a model based framework for user interface design,,,
,,,,book,1,paperback,0879422831,0,1992,ieee press,this book covers the essential intgredients for all effective presentations.,a new guide for better technical presentations applying proven techniques with modern tools,,,
,,,,report,1,hardbound,,0,1981,university of kent,this is a third-year project report comprising a theoretical investigation of clinical and ambulatory electrocardiography and an account of the experimental work carried out on an ecg data acquisition system.,a pilot study on a data acquisition and pattern recognition system for use in the analysis of 24-hou,,,
,,,,report,1,spiral,,0,1989,rnib technical r&d department,this report describes a react system which allows visually disabled people to use public machines which are at the moment inaccessible to them.,a preliminary report into the viability of the remote activator (react) system technique feasibility,,,
,,,,book,1,paperback,,0,1986,,the theme of this thesis is the application of information technology principles and techniques in the field of rehabilitation engineering.,a study of methodologies of information technology in the provision of communication aids for the sp,,,
,,,,booklet,0,paperback,,2,1984,blissymbolics communication institute,this publication is a listing of the blissymbols in blissymbols for use arranged in english alphabetical order with an appendix listing symbols.,a supplement to blissymbols for use,,,
tauber j. michael,ziegler e. j.,,,report,1,paperback,,1,1986,esprit,this report presents a survey of the relevant modelling techniques and formal methods with example applications.,a survey of models and formal description methods in hci with example applications,,,
,,,,proceedings,1,paperback,0262510715,0,1993,aaai press/mit press,"this volume contains accepted papers that describe significant contributions to all aspects of ai, including the principles underlying cognition, perception, and action in humans and machines.","aaai'93 proceedings of the eleventh national conference on artificial intelligence july 11-6 1993, w",,,
savidis a. antonios,homatas  gregory,spiridou  natassa,sfyrakis  michael,book,4,paperback,0901797642,0,1991,rnib (royal national institute for the blind),the objective of this book is to review and analyse in perspective the various issues related to the accessibility of guis by blind people and to identify and suggest possible solutions.,access to graphical user interfaces by blind people,,,
,,,,report,1,paperback,,0,1991,swedish institute for the handicapped,this book provides information about legislation regarding psn in usa.,access to the usa - recent disability legislation,disability,,
,,,,report,1,spiral,,0,1990,technical university of berlin institute of telecommunications,"this report includes papers of a workshop held at the technical university of berlin from september 12 to september 14, 1989.",access to visual computer information by blind persons,,,
acm sighci,,,,book,0,spiral,0897914740,2,1992,acm press,this report presents the work of the committee assembled to produce recommendations for education in human computer interaction.,acm sigchi curricula for human-computer interaction,,,
klose  a.,,,,report,1,paperback,,0,1991,commission of the european communities,this report is therefore intended to illustrate the entire spectrum of research and covers all existing projects within a range of areas.,activity report 1989-1990 cost secretariat,,,
,,,,report,1,paperback,,0,1989,commission of the european communities,this report on the results of an investigation into the requirements and options for work in the field of advanced communications experiments.,advanced communications experiments,,,
,,,,report,1,paperback,,0,1985,commission of the european communities,this report forms one important element of a series of assessments of requirements for developments in information technology to support advanced biological computing and biotechnology.,advanced computational support for biotechnology research,,,
,,,,book,1,hardbound,0893912441,0,1985,ablex publishing corporation,this book is loosely organised so that it flows from theoretical treatment of issues relating to interface specification and evaluation to computer science approaches for interface specification and prototyping.,advances in human-computer interaction volume 1,,,
hix  deborah,,,,book,1,hardbound,0893914282,0,1988,ablex publishing corporation,the theme of this book is that the future of the development of interactive systems with quality human-computer interfaces is in the cooperating hands of behavioural scientists and computer scientists.,advances in human-computer interaction volume 2,,,
,,,,proceedings,0,spiral,,1,1988,ifmbe,"sensory and communicative aids, protheses and orthoses, mobility and transport, devices for independent living, robotics, informatics, new materials, speech technology, modelling and simulation, assessment, quality control, standardization",advances in rehabilitation technology,,,
,,,,report,1,paperback,,0,1985,icta information centre,this report is intended to be a first attempt to make a catalogue for the deaf-blind.,aids for the deaf-blind,,,
,,,,report,1,paperback,,0,1988,commission of the european communities,it contains a list of the aim database.,aim database indexed per country and company,,,
,,,,report,1,without cover,,0,1988,commission of the european communities,this report describes the workplan proposed for the pilot phase.,aim draft workplan,,,
,,,,report,1,paperback,,0,,commission of the european communities,this report aims to help people make contacts they need in order to prepare projects and consortia in reply to the aim pilot phase.,aim profiles,,,
,,,,report,1,paperback,,0,,commission of the european communities,this report aims to help people make contacts they need in order to prepare projects and consortia in reply to the aim pilot phase.,aim profiles (second volume),,,
,,,,report,1,paperback,,0,1988,commission of the european communities,information for the preparation of proposals for aim projects.,aim workplan,,,
,,,,proceedings,1,paperback,,0,1987,commission of the european communities,this is a document on the discussion part of the workshops and a context and scene setting introduction to the set of abstracts and papers submitted.,aim workshops proceedings (volume i),,,
,,,,proceedings,1,paperback,,0,1987,commission of the european communities,"proceedings of the aim workshops held in brussels, november 1987 concerning the rehabilitation and disability.",aim workshops proceedings (volume ii),,,
,,,,book,0,spiral,,1,1968,university microfilms,theoretical background of demand analysis.,an econometric analysis of demand relationships in greece,,,
gill m. john,,,,report,1,spiral,,0,1988,rnib technical r&d department,this report documents a series of tests that were carried out in february 1988.,an evaluation of the tactile danger warning,,,
,,,,report,1,paperback,,0,1993,smc (stichting mathematisch centrum),"this annual report is complementary to the jaarverslag smc (in dutch), which concentrates on smc's national activities in mathematics.",annual report '92,,,
,,,,report,1,paperback,,0,1994,smc (stichting mathematisch centrum),"this annual report is complementary to the jaarverslag smc (in dutch), which concentrates on smc's national activities in mathematics.",annual report '93,,,
kerr  jean,williams  roberta,,,book,0,spiral,0863880703,1,,winslow press,"this book provides practical resource material for every aphasia therapist in a form which is conveniently accessible, imginative and clearly laid out.",aphasia therapy,disability,,
,,,,report,1,spiral,,0,1989,rnib (royal national institute for the blind),this report presents the proceedings of a workshop held at the institute of ophthalmology in london in july 1988.,application of technology in low vision,,,
christie  bruce,soloway  eliot,,,book,0,spiral,0471911844,1,1987,john wiley & sons,"the project was concerned with applying mainstream cognitive psycology to the problems of user-interface design in office systems, with particular emphasis on developing an automated tool for interface evaluation.",applying cognitive psychology to user interface design,,,
,,,,book,1,paperback,1556231296,0,1989,multiscience press,this book presents the fundamental principles and theories underlying fifty generation software such as natural language interfaces and expert systems.,artificial intelligence & turbo c,,,
talmon l. j.,,,,book,1,hardbound,9051992009,0,1995,ios press,this book provides first guidelines which may help users in assessing the effects of new and existing information technologies for health care.,assessment and evaluation of information technologies in medicine,,,
,,,,report,1,paperback,,0,1992,resna press,this book is intended to provide information about how assistive technology can be made a part of special education and related services.,assistive technology and the individualized education program,,,
hall  marian,,,,book,1,paperback,0932101275,0,1990,resna press,the sourcebook contains a wealth of information for everyone involved with providing or using assistive technology.,assistive technology sourcebook,,,
,,,,proceedings,1,paperback,,0,1989,resna press,"presentations at the resna 12th annual conference & ussaac first national conference new orleans, la, june 26-30 1989",augmentative and alternative communication 1989,,,
,,,,proceedings,1,paperback,,0,1995,autisme france,"3o congres international autisme france, held in nice acropolis 27-29, 1995. challenges and contributions of information technologies in education and research.",autisme et informatique autism and computer applications,,,
,,,,report,1,paperback,,0,1988,commission of the european communities,this report provides the necessary details and background information for the preparation of proposals.,"background information for the ""call for tender"" for the aim - exploratory action",,,
,,,,report,1,paperback,,0,1988,commission of the european communities,information for proposers,"background information for the exploratory action aim, how to make proposals",,,
,,,,report,2,paperback,,0,1991,commission of the european communities,this background material underpins the 1991 esprit workprogramm.,background material to the 1991 esprit workprogramme,,,
,,,,report,1,paperback,,0,1995,european commission,based on the work of the technical panels (february - april 1994),background to the workplan for the ivth framework programme telematics for the integration of disabl,,,
clough r. jeremy,roger h. f.,sachot  edouard,condon  jennifer,proceedings,1,without cover,,0,,,"communication and terminal equipment, biomedical instrumentation, presentation on administrative & management information flows in hospitals.",biceps (bio-informatics collaborative european programmes & strategy),,,
,,,,report,1,paperback,,0,1986,commission of the european communities,this is the report of the second workshop together with a list of participants and a summary of the questions addressed by the workshop.,"biceps, bio-informatics in europe: industry workshop",,,
,,,,report,1,paperback,,0,1986,commission of the european communities,this is the report of the first workshop together with a list of participants and a summary of the questions addressed by the workshop.,"biceps, bio-informatics in europe: policy workshop",,,
,,,,report,1,without cover,,0,1986,commission of the european communities,this report is a survey of the current offerings in biotechnological instrumentation and an assessment of user satisfaction or dissatisfaction with that equipment.,"biceps, instrumentation for biotechnology",,,
,,,,report,1,without cover,,0,1986,commission of the european communities,this report is concerned with a strategy for developing medical communications.,"biceps, medical communications",,,
,,,,report,1,paperback,,0,1986,commission of the european communities,it is a strategic study on information technologies applied to biomedical instrumentation.,"biceps, report presentation and methodology",,,
,,,,report,1,paperback,,0,1986,commission of the european communities,"this is an enquiry on statistics concerning ambulatory care, occupational medicine, registers, mortality statistics, procedures and other medical data such as drugs or biological results.","biceps, standardisation and harmonisation of medical data classification systems in europe",,,
,,,,book,1,hardbound,0849359333,0,1986,crc press,this book is intended to provide material of interest to engineers and scientists who wish to apply modern signal processing techniques to the analysis of biomedical signals.,biomedical signal processing volume i time and frequency domains analysis,,,
,,,,book,1,hardbound,0849359341,0,1986,crc press,this book is intended to provide material of interest to engineers and scientists who wish to apply modern signal processing techniques to the analysis of biomedical signals.,biomedical signal processing volume ii compression and automatic recognition,,,
mckennell  aubrey,walker  errol,,,report,1,paperback,0117014796,0,1991,rnib/hmso publications centre,this report presents the findings of the first ever nationwide survey of blind and partially sighted people in great britain.,blind and partially sighted adults in britain: the rnib survey (volume 1),,,
,,,,report,1,paperback,0117016268,0,1992,rnib/hmso publications centre,this report presents the findings of the first ever nationwide survey of blind and partially sighted children in great britain.,blind and partially sighted children in britain: the rnib survey (volume 2),,,
,,,,book,0,spiral,0969051611,2,1980,blissymbolics communication institute,"this book is designed to meet the needs of a wide range of people who are interested in blissymbols, and is divided into three sections: findind symbols, finding meanings and an index.",blissymbols for use,,,
,,,,report,1,paperback,,0,1991,commission of the european communities,"this report contains a selection of papers presented at the broadband islands workshop held in dublin on june 20, 1990.",broadband islands (a report from the race workshop),,,
,,,,report,1,spiral,,0,1990,department of computer science,technical report crc-tr-90-1 february 1990,building adaptive interfaces with neural networks: the glove-talk pilot study,networks,,
,,,,report,1,paperback,,0,1988,commission of the european communities,"it includes delta returned questionnaires, version 1.3 update","classifications and indices to delta returned questionnaires, version 1.3. update, δελτα",,,
brown  chappell,,,,book,1,hardbound,0471611611,0,1988,john wiley & sons,"the book discusses the history, hard science and research behind machines that think, and reveals how this technology could be the breakthrough that makes synthetic intelligence a reality.",cognizers - neural networks and manchines that think,,,
,,,,book,0,spiral,,1,1980,telindus institute,"data communications fundamentals, introduction to data communications, telecommunication networks...",communication and information,,,
,,,,book,0,spiral,,1,1987,department of health,equipment for disabled people presents facts and comment on a wide range of products that can help to make life easier and bring a greater degree of independence.,communication equipment for disabled people,technical aids,,
,,,,report,1,paperback,,0,1982,commission of the european communities,this report suggests ways of analising individual communication needs and prescribing and installing the technical equipment required to compensate for disability.,communication facilities for the disabled -technical aids-,,,
,,,,report,1,without cover,,0,1988,international business machines corporation,this document proposes a strategy with guidelines for the design of input and output aids that disabled persons often need to control computer technology.,computer-based technology for individuals with physical disabilities: a strategy for alternate acces,,,
,,,,report,1,without cover,,0,1988,international business machines corporation,this document describes the use of computer technology by physically disabled persons.,computer-based technology for individuals with physical disabilities: a strategy for microcomputer m,,,
,,,,report,1,paperback,,0,1990,consiglio nazionale delle ricerche,this report includes papers of a workshop held in florence from 29th june to 1st july 1989.,computer aided production of music material for and by the blind,,,
,,,,report,1,paperback,,0,1985,the british computer society health informatics specialist groups,this report concerns computers and the disabled persons.,computers and the disabled what needs to be done;,,,
,,,,book,1,hardbound,0201510480,0,1991,addison-wesley publishing company,in this book is presented a new framework for human-computer interaction and user-interface design.,computers as theatre,,,
tjoa min a.,wagner  roland,,,book,0,spiral,3854030483,1,1989,r. oldenbourg,the aim of this book is to present the state of research and development in that area (rehabilitation technology) and to bring together technologists and those experience in rehabilitation.,computers for handicapped persons,technical aids,,
,,,,book,0,spiral,3486217852,1,1990,r. oldenbourg verlag wien,"proceedings of the 2nd international conference. the main topics of the conference are: trends in the use of technologies, general aspects of computer application...",computers for handicapped persons,,,
,,,,book,1,paperback,,0,1983,sheffield education department,developments in the use of microprocessors for all with special educational needs,computers in special education,disability,,
stav  erlend,poom  patrick,head  peter,,book,1,paperback,,0,1995,comspec team,part1: the comspec architecture part2: the comspec protocols,comspec architecture & protocols,,,
,,,,book,1,without cover,,0,1995,,i. overview comspec systems ii. end-user notes iii. facilitator notes iv. integrator notes v. controlling other applications and systems through comspec,comspec functional specification (and user handbooks),,,
