Copies,EndMonth,ISSN,NewsletterID,Number,Photocopies,Publisher,Shelf,StartMonth,Subscriber,Theme,Title,Volume,Year
1,8,01615718,215,4,0,ieee,g122,7,cs,tools of the trade/ forum 95 program,ieee professional communication society,39,1995
1,10,01615718,216,5,0,ieee,g122,9,cs,information technology/ curmudgeon's corner/ tools of the trade/ adcom profiles/ fuzzyspeak threatens future,ieee professional communication society,39,1995
1,12,01615718,217,6,0,ieee,g122,11,cs,calendar 1996/ pace conference report/ adcom profiles,ieee professional communication society,39,1995
1,2,01615718,218,1,0,ieee,g121,1,cs,calendar 1996/ forum 95/  ipcc 95/ adcom profiles/ tools of the trade/ virtual leafing,ieee professional communication society,40,1996
1,4,01615718,219,2,0,ieee,g121,3,cs,pcs communication on the internet/ ipcc 96 communication on the fast track,ieee professional communication society,40,1996
1,6,01615718,220,3,0,ieee,g121,5,cs,time for change/ preparing outstanding presentations/ ipcc 96 fast track,ieee professional communication society,40,1996
1,8,01615718,221,4,0,ieee,g121,7,cs,ipcc 96 program: communication on the fast track,ieee professional communication society,40,1996
1,10,01615718,222,5,0,ieee,g121,9,cs,the beginnings of technical communication,ieee professional communication society,40,1996
1,12,01615718,223,6,0,ieee,g121,11,cs,september adcom meeting summary,ieee professional communication society,40,1996
1,,,224,87,0,ieee,g121,11,cs,ieee reorganisation,ieee region 8 news,0,1989
