BookID_Books,Title_Books,Theme_Books,Category_Books,Publisher_Books,PublicationYear,ISBN_Books,CoverType,Origin_Books,Shelf_Books,CopiesNo,FotocopiesNo,Includes,Title_norm_Books,BookID_Books1,Author Name,Author Middle,Author Surname,Co-Authors,Title_Books1,Theme_Books1,Type,Category_Books1,Date of publication,Publisher_Books1,ISBN_Books1,Kind,Origin_Books1,Shelf_Books1,State,When_Borrowed,Who_Borrowed,Field18,Title_norm_Books1,similarity_score,Confidence,MatchType
49,Mental Models and Human-Computer Interaction 1,"This book presents selected papers of the ""6th Interdisciplinary Workshop in Informatics and Psychology"" which was held in Scharding, Austria in June 1987.",proceedings,Elsevier Science Publishers,1990,044488453X,hardbound,CS,G121,1.0,0,,mental models and human-computer interaction 1,2024,M.,J.,Tauber,"M.J. Tauber, D. Ackermann",Mental Models and Human-Computer Interaction 2,"This is the volume 2 of ""Mental Models in Human-Computer Interaction"" and is published as an edited report of the ""8th Interdisciplinary Workshop in ""Informatics and Psychology"" which was held in Scharding (Austria) in June 1989.",book,Human-Computer Interaction,1991,Elsevier Science Publishers,0444886028,hardbound,CS,G121,unavailable,1994-12-12 00:00:00.0,Ακουμιανάκης Δήμος,,mental models and human-computer interaction 2,97.82608695652172,High (≥ high_confidence),Fuzzy
79,"AAAI'93 Proceedings of the Eleventh National Conference on Artificial Intelligence July 11-6 1993, W","This volume contains accepted papers that describe significant contributions to all aspects of AI, including the principles underlying cognition, perception, and action in humans and machines.",proceedings,AAAI Press/MIT Press,1993,0262510715,paperback,CS,G121,1.0,0,,"aaai'93 proceedings of the eleventh national conference on artificial intelligence july 11-6 1993, w",79,,,American Association for Artificial Intelligence,American Association for Artificial Intelligence,"AAAI'93 Proceedings of the Eleventh National Conference on Artificial Intelligence July 11-6 1993, Washington, D.C.","This volume contains accepted papers that describe significant contributions to all aspects of AI, including the principles underlying cognition, perception, and action in humans and machines.",proceedings,Artificial Intelligence,1993,AAAI Press/MIT Press,0262510715,paperback,CS,G121,available,,,,"aaai'93 proceedings of the eleventh national conference on artificial intelligence july 11-6 1993, washington, d.c.",93.02325581395348,Medium (>= score_threshold),Fuzzy
95,Symbiosis of Human and Artifact: Future Computing and Design for Human-Computer Interaction (20A),"This book presents the latest advances in the research of future computing and system design, as well as their relevant application, in the wide field of human-computer interaction. Proceedings of the 6th Int. Conf. on HCI, held in Tokyo, July 1995 Vol. 20A",proceedings,Elsevier Science Publishers,1995,0444817956,hardbound,CS,G122,2.0,0,,symbiosis of human and artifact: future computing and design for human-computer interaction (20a),95,Yuichiro,,Anzai,"Yuichiro Anzai, K.Ogawa, H. Mori",Symbiosis of Human and Artifact: Future Computing and Design for Human-Computer Interaction (Volume 1),"This book presents the latest advances in the research of future computing and system design, as well as their relevant application, in the wide field of human-computer interaction. Proceedings of the 6th Int. Conf. on HCI, held in Tokyo, July 1995 Vol.1",proceedings,Human-Computer Interaction,1995,Elsevier Science Publishers,0444817956,hardbound,CS,G122,unavailable,1995-07-25 00:00:00.0,Καραγιαννίδης Μπάμπης,,symbiosis of human and artifact: future computing and design for human-computer interaction (volume 1),94.47236180904522,Medium (>= score_threshold),Fuzzy
96,Symbiosis of Human and Artifact: Human and Social Aspects of Human-Computer Interaction (20B),"This book presents the latest advances in the research of ergonomics, human factors and social aspects of work with computer systems. Proceedings of the 6th Inter. Conf. on HCI, held in Tokyo, Japan, 9-14 July 1995, Volume 2.",proceedings,Elsevier Science Publishers,1995,0444817956,hardbound,CS,G122,1.0,0,,symbiosis of human and artifact: human and social aspects of human-computer interaction (20b),96,Yuichiro,,Anzai,"Yuichiro Anzai, K.Ogawa, H. Mori",Symbiosis of Human and Artifact: Human and Social Aspects of Human-Computer Interaction (Volume 2),"This book presents the latest advances in the research of ergonomics, human factors and social aspects of work with computer systems. Proceedings of the 6th Inter. Conf. on HCI, held in Tokyo, Japan, 9-14 July 1995, Volume 2.",proceedings,Human-Computer Interaction,1995,Elsevier Science Publishers,0444817956,hardbound,CS,G122,unavailable,1995-07-25 00:00:00.0,Καραγιαννίδης Μπάμπης,,symbiosis of human and artifact: human and social aspects of human-computer interaction (volume 2),95.28795811518324,High (≥ high_confidence),Fuzzy
108,Software Reengineering,This book is intended for software engineering practitioners and researchers.,book,IEEE Computer Society Press,1993,0818632720,hardbound,CS,G121,1.0,0,,software reengineering,1065,D.,C.,Ince,D.C. Ince,Software Engineering,This book introduces undergraduate and diploma students in electronic and electrical engineering to practical software engineering.,book,Software Engineering,1989,Van Nostrand Reinhold,0278000797,paperback,3Π13,G121,available,,,,software engineering,95.23809523809524,High (≥ high_confidence),Fuzzy
108,Software Reengineering,This book is intended for software engineering practitioners and researchers.,book,IEEE Computer Society Press,1993,0818632720,hardbound,CS,G121,1.0,0,,software reengineering,1846,I.,,Sommerville,I. Sommerville,Software Engineering,This book describes the disciplines required in the development of large computer software systems.,book,Software Engineering,1982,Addison-Wesley Publishing Company,020113795X,paperback,CS,G121,available,,,,software engineering,95.23809523809524,High (≥ high_confidence),Fuzzy
117,Introduction to Psychology Eighth Edition,"The purpose of this book is to introduce contemporary psychology to the beginning student, in full recognition that between editions both psychology and students change.",book,Harcourt Brace Jovanovich,1957,0155436775,paperback,CS,G117,1.0,0,,introduction to psychology eighth edition,1000,Ernest,R.,Hilgard,"Ernest R. Hilgard, Richard C. Atkinson, Rital L. Atkinson",Introduction to Psychology (Sixth Edition),This book represents accurately the current state of knowledge in psychology.,book,Psychology,1957,Harcourt Brace Jovanovich,0155436570,hardbound,CS,G117,available,,,,introduction to psychology (sixth edition),91.56626506024097,Medium (>= score_threshold),Fuzzy
126,Knowledge Acquisition for Knowledge-Based Systems,"7th European Workshop, EKAW '93, Toulouse and Caylus, France, September 1993.",proceedings,Springer-Verlag Berlin,1993,3540572538,paperback,CS,G121,1.0,0,,knowledge acquisition for knowledge-based systems,126,N.,,Aussenac,"N. Aussenac, G. Boy, B. Gaines M. Linster, J.-G. Ganascia, Y. Kodratoff",Knowledge Acquisition for Knowledge-Based Systems EKAW '93,"This volume contains the best papers presented at the Workshop focused on methodological guidelines for advanced knowledge-based system design, held at Toulouse and Caylus, France, September 1993.",proceedings,Knowledge-Based Systems,1993,Springer-Verlag Berlin,3540572538,paperback,CS,G121,available,,,,knowledge acquisition for knowledge-based systems ekaw '93,91.58878504672896,Medium (>= score_threshold),Fuzzy
130,AutoCAD Installation Guide for DOS,This manual explains how to install and configure your system for AutoCAD Release 13.,manual,Autodesk,1995,001050002005000,paperback,RTI Lab.,G117,1.0,0,,autocad installation guide for dos,131,,,Autodesk,Autodesk,AutoCAD Installation Guide for Windows,This manual lists the hardware and software required to run AutoCAD and describes how to use the AutoCAD for Windows setup program for either a single user or a network.,manual,AutoCAD,1995,Autodesk,001050014005000,paperback,RTI Lab.,G117,available,,,,autocad installation guide for windows,94.44444444444444,Medium (>= score_threshold),Fuzzy
131,AutoCAD Installation Guide for Windows,This manual lists the hardware and software required to run AutoCAD and describes how to use the AutoCAD for Windows setup program for either a single user or a network.,manual,Autodesk,1995,001050014005000,paperback,RTI Lab.,G117,1.0,0,,autocad installation guide for windows,130,,,Autodesk,Autodesk,AutoCAD Installation Guide for DOS,This manual explains how to install and configure your system for AutoCAD Release 13.,manual,AutoCAD,1995,Autodesk,001050002005000,paperback,RTI Lab.,G117,available,,,,autocad installation guide for dos,94.44444444444444,Medium (>= score_threshold),Fuzzy
146,Interactive Speech Technology Human Factors Issues in the Application of Speech Input/Output to Comp,This book deals with two important technologies in human-computer interaction: computer generation of synthetic speech and computer recognition of human speech.,book,Taylor & Francis,1993,074840127X,hardbound,CS,G121,1.0,0,,interactive speech technology human factors issues in the application of speech input/output to comp,146,Christopher,,Baber,"Christopher Baber, Jan Noyes",Interactive Speech Technology Human Factors Issues in the Application of Speech Input/Output to Computers,This book deals with two important technologies in human-computer interaction: computer generation of synthetic speech and computer recognition of human speech.,book,Human-Computer Interaction,1993,Taylor & Francis,074840127X,hardbound,CS,G121,available,,,,interactive speech technology human factors issues in the application of speech input/output to computers,97.5609756097561,High (≥ high_confidence),Fuzzy
172,Human-Computer Interaction,"Third International Conference, EWHCI'93 Moscow, Russia, August 1993 Selected papers.",proceedings,Springer-Verlag Berlin,1993,3540574336,paperback,CS,G121,1.0,0,,human-computer interaction,692,Alan,,Dix,"Alan Dix, Janet Finlay, Gregory Abowd, Russell Beale",Human Computer Interaction,This book provides a multi-disciplinary perspective to the subject for undergraduate students in Human-Computer Interaction and Interface Design in Computer Science.,book,Human-Computer Interaction,1993,Prentice-Hall,0134582667,hardbound,CS,G121,available,,,,human computer interaction,96.15384615384616,High (≥ high_confidence),Fuzzy
172,Human-Computer Interaction,"Third International Conference, EWHCI'93 Moscow, Russia, August 1993 Selected papers.",proceedings,Springer-Verlag Berlin,1993,3540574336,paperback,CS,G121,1.0,0,,human-computer interaction,1105,P.,,Johnson,P. Johnson,Human Computer Interaction,This is an exciting new text providing a computer overview of the fundamental aspects of cognitive psychology relevant for the human-computer interaction.,book,Human-Computer Interaction,1992,McGraw-Hill,0077072359,paperback,CS,G121,available,,,,human computer interaction,96.15384615384616,High (≥ high_confidence),Fuzzy
215,SIGGRAPH 96 Visual Proceedings,The Bridge/ Digital Bayou/ Applications/ Sketches/ Computer Animation Festival. The Art and Interdisciplinary Programs of SIGGRAPH 96,proceedings,ACM Press,1996,0897917847,paperback,CS,G121,1.0,0,,siggraph 96 visual proceedings,1521,Ken,,O'Connell,Ken O'Connell,SIGGRAPH 95 Visual Proceedings,Art Gallery/ Interactive Entertainment/ Interactive Communities/ Computer Animation Festival/ Electronic Theatre/ Graphics Net,proceedings,Computer Graphics,1995,ACM SIGGRAPH,0897917022,paperback,CS,G121,available,,,,siggraph 95 visual proceedings,96.66666666666669,High (≥ high_confidence),Fuzzy
246,Borland C++ Programmer's Guide (Version 5),This manual describes the implementation and extensions to the C and C++ programming languages,manual,Borland,1996,0672309238,paperback,RTI Lab.,G120A,1.0,0,,borland c++ programmer's guide (version 5),244,,,Borland,Borland,Borland C++ Programmer's Guide (Version 4.0),"Language Structure, Advanced Programming, Class Libraries - ANSI Implementation",manual,Borland C++,1993,Borland,,paperback,3Π46,G123,available,,,,borland c++ programmer's guide (version 4.0),95.34883720930232,High (≥ high_confidence),Fuzzy
246,Borland C++ Programmer's Guide (Version 5),This manual describes the implementation and extensions to the C and C++ programming languages,manual,Borland,1996,0672309238,paperback,RTI Lab.,G120A,1.0,0,,borland c++ programmer's guide (version 5),245,,,Borland,Borland,Borland C++ Programmer's Guide (Version 4.5),"This manual provides you with programming information on C++ streams, container classes and ANSI implementation details.",manual,Borland C++,1994,Borland,,paperback,3Π46,G121,available,,,,borland c++ programmer's guide (version 4.5),97.67441860465117,High (≥ high_confidence),Fuzzy
251,Borland C++ User's Guide (Version 5),I. The integrated development environment II. Resource workshop user's guide III. Borland C++ tools and utilities IV. Turbo Profile user's guide,manual,Borland,1996,067230922X,paperback,RTI Lab.,G120A,1.0,0,,borland c++ user's guide (version 5),249,,,Borland,Borland,Borland C++ User's Guide (Version 4.0),"Command-line Tools, Project Manager, IDE, AppExpert, Integrated Debugger, Resource Workshop, ClassExpert",manual,Borland C++,1993,Borland,,paperback,3Π46,G123,available,,,,borland c++ user's guide (version 4.0),94.5945945945946,Medium (>= score_threshold),Fuzzy
251,Borland C++ User's Guide (Version 5),I. The integrated development environment II. Resource workshop user's guide III. Borland C++ tools and utilities IV. Turbo Profile user's guide,manual,Borland,1996,067230922X,paperback,RTI Lab.,G120A,1.0,0,,borland c++ user's guide (version 5),250,,,Borland,Borland,Borland C++ User's Guide (Version 4.5),I. Using the integrated development environment II. Using the command-line tools III. Using Resource Workshop,manual,Borland C++,1994,Borland,,paperback,3Π46,G121,available,,,,borland c++ user's guide (version 4.5),97.2972972972973,High (≥ high_confidence),Fuzzy
348,Human Factors in Organizational Design and Management-II,"This book contains a series of papers which were presented during the Second International Symposium on Human Factors in Organizational Design and Management, held in Vancouver, Canada, on 19-21 August, 1986.",proceedings,Elsevier Science Publishers,1986,0444700765,hardbound,CS,G122,1.0,0,,human factors in organizational design and management-ii,1510,Kageyu,,Noro,"K. Noro, O. Brown, Jr.",Human Factors in Organizational Design and Management-III,"This book contains the papers presented at the Third International Symposium on Human Factors in Organizational Design and Management in Kyoto, Japan, July 18-21, 1990.",book,Human Factors,1990,Elsevier Science Publishers,0444887849,hardbound,CS,G122,available,,,,human factors in organizational design and management-iii,99.1150442477876,High (≥ high_confidence),Fuzzy
352,Blind and Partially Sighted Adults in Britain: the RNIB Survey (Volume 1),This report presents the findings of the first ever nationwide survey of blind and partially sighted people in Great Britain.,report,RNIB/HMSO Publications Centre,1991,0117014796,paperback,CS,GROUP-LIB,1.0,0,,blind and partially sighted adults in britain: the rnib survey (volume 1),2112,Errol,,Walker,"Errol Walker, Michael Tobin, Aubrey McKennell",Blind and Partially Sighted Children in Britain: The RNIB Survey (Volume 2),This report presents the findings of the first ever nationwide survey of blind and partially sighted children in Great Britain.,report,Disability,1992,RNIB/HMSO Publications Centre,0117016268,paperback,CS,GROUP-LIB,available,,,,blind and partially sighted children in britain: the rnib survey (volume 2),90.54054054054052,Medium (>= score_threshold),Fuzzy
400,Designing Interaction: Psychology at the Human-Computer Interface,This book presents a broadbased and fundamental reexamination of human-computer interaction as a practical and scientific endeavor.,book,Cambridge University Press,1991,0521409217,paperback,CS,G121,1.0,0,,designing interaction: psychology at the human-computer interface,400,John,M.,Carroll,John M. Carroll,Designing Interaction Psychology at the Human-Computer Interface,This book presents a broadbased and fundamental reexamination of human-computer interaction as a practical and scientific endeavor.,book,Human-Computer Interaction,1991,Cambridge University Press,0521409217,paperback,CS,G121,available,,,,designing interaction psychology at the human-computer interface,99.2248062015504,High (≥ high_confidence),Fuzzy
407,Understanding Neural Networks Computer Explorations Volume 1: Basic Networks,"Volume 1 covers learning, attractor networks, and hierarchical networks (including backpropagation networks). ΔΩΡΕΑ ΣΤΗ ΒΙΒΛΙΟΘΗΚΗ ΙΠ-ΙΤΕ.",book,MIT Press,1992,0262530996,spiral,CS/E,G123,1.0,0,,understanding neural networks computer explorations volume 1: basic networks,408,Maureen,,Caudill,"Maureen Caudill, Charles Butler",Understanding Neural Networks Computer Explorations Volume 2: Advanced Networks,"Volume 2 takes up temporal networks (including recurrent networks), self-organizing networks, high-order networks and evolutionary networks.",book,Networks,1992,MIT Press,0262531003,spiral,CS/E,G123,unavailable,1995-09-06 00:00:00.0,CS,,understanding neural networks computer explorations volume 2: advanced networks,92.90322580645162,Medium (>= score_threshold),Fuzzy
512,Esprit 1987 Annual Report,In this report a selection of the most important industrial achievements of ESPRIT during 1987 is presented.,report,ECSC-EEC-EAEC,1988,9282583791,paperback,CS,CS-LIB,1.0,0,,esprit 1987 annual report,513,,,Commission of the European Communities,Commission of the European Communities,Esprit 1989 Annual Report,In this report a selection of the most important industrial achievements of ESPRIT during 1989 is presented.,report,ESPRIT,1990,ECSC-EEC-EAEC,9282616398,paperback,CS,CS-LIB,available,,,,esprit 1989 annual report,96.0,High (≥ high_confidence),Fuzzy
513,Esprit 1989 Annual Report,In this report a selection of the most important industrial achievements of ESPRIT during 1989 is presented.,report,ECSC-EEC-EAEC,1990,9282616398,paperback,CS,CS-LIB,1.0,0,,esprit 1989 annual report,512,,,Commission of the European Communities,Commission of the European Communities,Esprit 1987 Annual Report,In this report a selection of the most important industrial achievements of ESPRIT during 1987 is presented.,report,ESPRIT,1988,ECSC-EEC-EAEC,9282583791,paperback,CS,CS-LIB,available,,,,esprit 1987 annual report,96.0,High (≥ high_confidence),Fuzzy
589,TIDE Pilot Action Synopses,This booklet presents the updated synopses of the 21 projects funded in the TIDE Pilot Action,guide,Commission of the European Communities,1993,9282657051,paperback,CS,G117,1.0,0,,tide pilot action synopses,590,,,Commission of the European Communities,Commission of the European Communities,TIDE Pilot Action The Synopses,This booklet presents the synopses of the 21 projects funded in the TIDE Pilot Action.,synopses,TIDE,1992,Commission of the European Communities,,spiral,GUIB,G117,available,,,,tide pilot action the synopses,92.85714285714286,Medium (>= score_threshold),Fuzzy
614,SIGGRAPH 95 Computer Graphics Proceedings,"Proceedings of the 22nd annual ACM Conference on Computer Graphics and Interactive Techniques, held at Los Angeles, California on August 9-11, 1995.",proceedings,ACM SIGGRAPH,1995,0897917014,paperback,CS,G121,1.0,0,,siggraph 95 computer graphics proceedings,642,Steve,,Cunningham,Steve Cunningham,SIGGRAPH 94 Computer Graphics Proceedings,"Conference Proceedings on  Computer Graphics, July 24-29, 1994",proceedings,Computer Graphics,1994,ACM Press/Addison-Wesley,0201607956,paperback,CS,G121,available,,,,siggraph 94 computer graphics proceedings,97.5609756097561,High (≥ high_confidence),Fuzzy
616,Oh! Pascal! (Second Edition),"This book provides a clear, non-mathematically oriented introduction to programming and Pascal.",book,W.W. Norton & Company,1982,0393954455,paperback,CS,G122-CS,1.0,0,,oh! pascal! (second edition),616,Doug,,Cooper,"Doug Cooper, Michael Clancy",Oh! Pascal! Second Edition,"This book provides a clear, non-mathematically oriented introduction to programming and Pascal.",book,Programming,1982,W.W. Norton & Company,0393954455,paperback,CS,G122-CS,available,,,,oh! pascal! second edition,96.2962962962963,High (≥ high_confidence),Fuzzy
641,SIGGRAPH 92 Computer Graphics Proceedings,"Conference Proceedings on  Computer Graphics and Interactive Techniques Chicago, Illinois, July 26-31, 1992",proceedings,ACM SIGGRAPH,1992,0201515857,paperback,CS,,1.0,0,,siggraph 92 computer graphics proceedings,642,Steve,,Cunningham,Steve Cunningham,SIGGRAPH 94 Computer Graphics Proceedings,"Conference Proceedings on  Computer Graphics, July 24-29, 1994",proceedings,Computer Graphics,1994,ACM Press/Addison-Wesley,0201607956,paperback,CS,G121,available,,,,siggraph 94 computer graphics proceedings,97.5609756097561,High (≥ high_confidence),Fuzzy
662,Graphics Interface '94,"This volume contains the proceedings on Graphics Interface '94 held in Banff Alberta 18-20 May, 1994.",proceedings,Canadian Information Processing Society,1994,0969533837,paperback,CS,G121,1.0,0,,graphics interface '94,663,Wayne,A.,Davis,"Wayne A. Davis, Richard Bartels",Graphics Interface '96,"This volume contains the proceedings on Graphics Interface '96 was held in Ontario Toronto 22-24 May, 1996.",proceedings,Computer Graphics,1996,Canadian Information Processing Society,0969533853,paperback,CS,G121,available,,,,graphics interface '96,95.45454545454544,High (≥ high_confidence),Fuzzy
663,Graphics Interface '96,"This volume contains the proceedings on Graphics Interface '96 was held in Ontario Toronto 22-24 May, 1996.",proceedings,Canadian Information Processing Society,1996,0969533853,paperback,CS,G121,1.0,0,,graphics interface '96,662,Wayne,A.,Davis,"Wayne A. Davis, Barry Joe",Graphics Interface '94,"This volume contains the proceedings on Graphics Interface '94 held in Banff Alberta 18-20 May, 1994.",proceedings,Computer Graphics,1994,Canadian Information Processing Society,0969533837,paperback,CS,G121,available,,,,graphics interface '94,95.45454545454544,High (≥ high_confidence),Fuzzy
680,Human-Computer Interaction INTERACT '90,"Proceedings of the second IFIP Conference on Human-Computer Interaction held in Cambridge, U.K., 27-31 August, 1990.",proceedings,Elsevier Science Publishers,1990,0444888179,hardbound,CS,G121,1.0,0,,human-computer interaction interact '90,358,H.,J.,Bullinger,"H.J. Bullinger, B. Shackel",Human-Computer Interaction Interact '87,"Proceedings of the second IFIP Conference on Human-Computer Interaction held at the University of Stuttgart, Federal Republic of Germany, 1-4 September, 1987.",proceedings,Human-Computer Interaction,1987,Elsevier Science Publishers,0444703047,hardbound,CS,G122,available,,,,human-computer interaction interact '87,94.87179487179486,Medium (>= score_threshold),Fuzzy
692,Human Computer Interaction,This book provides a multi-disciplinary perspective to the subject for undergraduate students in Human-Computer Interaction and Interface Design in Computer Science.,book,Prentice-Hall,1993,0134582667,hardbound,CS,G121,1.0,0,,human computer interaction,1621,Jenny,,Preece,"Jenny Preece, Laurie Keller",Human-Computer Interaction,The collection of papers contained in this volume provides a broad view of both theoretical and practical issues in human-computer interaction.,book,Human-Computer Interaction,1990,Prentice-Hall,013444910X,paperback,3Π13,G122,available,,,,human-computer interaction,96.15384615384616,High (≥ high_confidence),Fuzzy
693,Nonmonotonic and Inductive Logic,"This volume contains the revised and expended papers presented at the First International Workshop on Nonmonotonic and Inductive Inference that took place at the University of Karlstruhe, December 4-7, 1990.",proceedings,Springer-Verlag Berlin,1991,3540545646,paperback,CS,G121,1.0,0,,nonmonotonic and inductive logic,693,J.,,Dix,"J. Dix, K.P. Jantke, P.H. Schmitt",Non-Monotonic and Inductive Logic,"This volume contains the revised and expended papers presented at the First International Workshop on Nonmonotonic and Inductive Inference that took place at the University of Karlstruhe, December 4-7, 1990.",proceedings,Artificial Intelligence,1991,Springer-Verlag Berlin,3540545646,paperback,CS,G121,available,,,,non-monotonic and inductive logic,98.46153846153848,High (≥ high_confidence),Fuzzy
